['a351', 'a295', 'a120', 'a121', 'a337', 'a201', 'a389', 'a461', 'a147', 'a20', 'a198', 'a316']
['a17', 'a309', 'a41', 'a122', 'a162', 'a221', 'a372', 'a426', 'a322', 'a362', 'a140', 'a442']
['a3', 'a43', 'a139', 'a209', 'a438', 'a203', 'a53', 'a91', 'a323', 'a363', 'a175', 'a208']
['a370', 'a272', 'a274', 'a453', 'a360', 'a204', 'a187', 'a380', 'a324', 'a343', 'a13', 'a261']
['a5', 'a45', 'a85', 'a358', 'a232', 'a104', 'a445', 'a164', 'a422', 'a300', 'a84', 'a82']
['a6', 'a46', 'a371', 'a342', 'a179', 'a361', 'a116', 'a253', 'a456', 'a110', 'a317', 'a170']
['a7', 'a470', 'a417', 'a197', 'a312', 'a207', 'a75', 'a287', 'a327', 'a154', 'a218', 'a447']
['a27', 'a425', 'a185', 'a83', 'a388', 'a443', 'a340', 'a94', 'a328', 'a369', 'a131', 'a448']
['a264', 'a8', 'a213', 'a86', 'a302', 'a429', 'a249', 'a144', 'a42', 'a289', 'a338', 'a90']
['a10', 'a296', 'a143', 'a145', 'a177', 'a415', 'a54', 'a391', 'a330', 'a403', 'a77', 'a450']
['a11', 'a297', 'a307', 'a408', 'a171', 'a246', 'a251', 'a291', 'a385', 'a155', 'a126', 'a133']
['a12', 'a268', 'a455', 'a237', 'a52', 'a212', 'a252', 'a271', 'a427', 'a153', 'a257', 'a446']
['a30', 'a224', 'a93', 'a225', 'a173', 'a242', 'a392', 'a301', 'a410', 'a73', 'a129', 'a260']
['a14', 'a421', 'a219', 'a186', 'a174', 'a214', 'a254', 'a51', 'a168', 'a240', 'a67', 'a72']
['a15', 'a233', 'a148', 'a377', 'a216', 'a215', 'a255', 'a117', 'a305', 'a227', 'a210', 'a81']
['a19', 'a286', 'a102', 'a61', 'a176', 'a319', 'a118', 'a50', 'a336', 'a376', 'a311', 'a326']
['a2', 'a189', 'a468', 'a458', 'a194', 'a47', 'a449', 'a314', 'a115', 'a416', 'a344', 'a394']
['a18', 'a404', 'a57', 'a250', 'a332', 'a172', 'a258', 'a137', 'a407', 'a378', 'a418', 'a241']
['a163', 'a451', 'a99', 'a245', 'a31', 'a397', 'a353', 'a184', 'a339', 'a141', 'a469', 'a262']
['a16', 'a60', 'a100', 'a69', 'a180', 'a220', 'a259', 'a365', 'a379', 'a303', 'a430', 'a346']
['a457', 'a298', 'a35', 'a248', 'a181', 'a202', 'a381', 'a80', 'a231', 'a432', 'a290', 'a152']
['a22', 'a62', 'a306', 'a223', 'a182', 'a278', 'a9', 'a284', 'a315', 'a368', 'a325', 'a367']
['a23', 'a156', 'a103', 'a49', 'a183', 'a63', 'a463', 'a401', 'a87', 'a383', 'a270', 'a108']
['a24', 'a64', 'a345', 'a48', 'a70', 'a114', 'a96', 'a304', 'a310', 'a160', 'a437', 'a331']
['a25', 'a299', 'a247', 'a428', 'a88', 'a473', 'a472', 'a405', 'a205', 'a406', 'a128', 'a68']
['a26', 'a66', 'a55', 'a146', 'a134', 'a359', 'a178', 'a477', 'a460', 'a78', 'a149', 'a480']
['a206', 'a356', 'a107', 'a79', 'a244', 'a335', 'a267', 'a127', 'a347', 'a374', 'a36', 'a321']
['a28', 'a465', 'a263', 'a222', 'a188', 'a228', 'a125', 'a308', 'a348', 'a256', 'a409', 'a161']
['a29', 'a329', 'a396', 'a44', 'a101', 'a349', 'a390', 'a217', 'a105', 'a136', 'a191', 'a419']
['a58', 'a56', 'a130', 'a294', 'a190', 'a281', 'a423', 'a269', 'a350', 'a452', 'a167', 'a411']
['a166', 'a476', 'a111', 'a151', 'a109', 'a132', 'a292', 'a135', 'a1', 'a479', 'a375', 'a471']
['a32', 'a395', 'a112', 'a230', 'a192', 'a165', 'a384', 'a282', 'a466', 'a65', 'a444', 'a265']
['a95', 'a373', 'a113', 'a266', 'a193', 'a106', 'a273', 'a313', 'a124', 'a393', 'a21', 'a59']
['a34', 'a387', 'a119', 'a454', 'a352', 'a234', 'a150', 'a364', 'a354', 'a386', 'a283', 'a420']
['a433', 'a138', 'a382', 'a243', 'a159', 'a235', 'a4', 'a89', 'a355', 'a98', 'a435', 'a71']
['a157', 'a195', 'a211', 'a229', 'a196', 'a236', 'a33', 'a441', 'a320', 'a474', 'a436', 'a334']
['a37', 'a169', 'a97', 'a275', 'a413', 'a475', 'a277', 'a123', 'a357', 'a288', 'a424', 'a440']
['a38', 'a74', 'a341', 'a158', 'a333', 'a238', 'a142', 'a318', 'a285', 'a398', 'a462', 'a478']
['a39', 'a467', 'a434', 'a402', 'a199', 'a239', 'a279', 'a459', 'a226', 'a399', 'a439', 'a464']
['a40', 'a200', 'a76', 'a431', 'a293', 'a276', 'a280', 'a414', 'a412', 'a400', 'a366', 'a92']
