['0', '85', '120', '123', '187']
['124', '161', '121', '247', '60']
['54', '49', '181', '182', '163']
['219', '227', '218', '183', '216']
['93', '90', '194', '150', '204']
['5', '65', '8', '185', '245']
['57', '66', '126', '186', '246']
['42', '67', '82', '41', '158']
['131', '68', '270', '125', '4']
['9', '69', '272', '53', '19']
['10', '278', '119', '279', '250']
['11', '101', '188', '105', '12']
['94', '135', '134', '192', '81']
['13', '2', '1', '3', '40']
['260', '252', '253', '7', '254']
['297', '157', '191', '195', '229']
['113', '276', '136', '235', '285']
['263', '77', '199', '172', '147']
['257', '255', '288', '265', '286']
['249', '62', '139', '137', '259']
['104', '80', '140', '200', '14']
['21', '230', '24', '201', '211']
['190', '144', '142', '202', '143']
['177', '17', '251', '203', '84']
['256', '127', '258', '129', '264']
['29', '48', '145', '26', '46']
['269', '231', '268', '206', '266']
['79', '178', '23', '50', '220']
['262', '88', '138', '242', '193']
['148', '173', '149', '170', '248']
['30', '132', '184', '155', '25']
['212', '169', '151', '261', '210']
['32', '91', '152', '92', '122']
['293', '175', '153', '213', '154']
['223', '271', '273', '214', '274']
['281', '95', '280', '215', '275']
['75', '110', '156', '45', '76']
['37', '35', '39', '61', '277']
['38', '89', '97', '27', '28']
['36', '99', '241', '141', '244']
['217', '287', '160', '31', '34']
['240', '71', '243', '198', '73']
['47', '102', '236', '290', '282']
['43', '103', '146', '44', '189']
['98', '96', '267', '224', '284']
['74', '72', '228', '225', '83']
['221', '106', '166', '226', '208']
['116', '107', '70', '197', '100']
['167', '130', '168', '165', '133']
['164', '109', '108', '117', '128']
['207', '20', '222', '232', '209']
['283', '111', '33', '289', '291']
['52', '112', '171', '174', '292']
['64', '205', '299', '296', '63']
['22', '114', '295', '234', '294']
['55', '180', '86', '87', '159']
['56', '179', '176', '162', '233']
['18', '115', '78', '237', '15']
['118', '58', '196', '238', '59']
['298', '51', '16', '239', '6']
