['a29', 'a20', 'a378', 'a314', 'a153', 'a175', 'a343', 'a150', 'a366', 'a260', 'a107', 'a360', 'a100', 'a145', 'a194', 'a197', 'a392', 'a347', 'a103', 'a304']
['a289', 'a72', 'a89', 'a74', 'a70', 'a133', 'a129', 'a123', 'a240', 'a9', 'a167', 'a63', 'a206', 'a93', 'a323', 'a159', 'a112', 'a369', 'a309', 'a95']
['a191', 'a326', 'a130', 'a230', 'a350', 'a219', 'a305', 'a303', 'a375', 'a19', 'a218', 'a387', 'a357', 'a140', 'a165', 'a71', 'a248', 'a25', 'a85', 'a362']
['a143', 'a43', 'a201', 'a149', 'a346', 'a245', 'a256', 'a255', 'a284', 'a216', 'a64', 'a7', 'a125', 'a114', 'a21', 'a185', 'a382', 'a399', 'a294', 'a374']
['a15', 'a317', 'a310', 'a348', 'a330', 'a180', 'a84', 'a92', 'a38', 'a42', 'a359', 'a78', 'a26', 'a243', 'a227', 'a134', 'a2', 'a334', 'a340', 'a307']
['a132', 'a355', 'a306', 'a373', 'a398', 'a282', 'a205', 'a236', 'a242', 'a171', 'a207', 'a110', 'a135', 'a253', 'a390', 'a335', 'a144', 'a327', 'a98', 'a264']
['a250', 'a384', 'a308', 'a298', 'a116', 'a213', 'a265', 'a212', 'a231', 'a37', 'a49', 'a214', 'a56', 'a354', 'a142', 'a131', 'a228', 'a169', 'a279', 'a312']
['a55', 'a124', 'a179', 'a119', 'a178', 'a324', 'a262', 'a62', 'a383', 'a203', 'a385', 'a345', 'a68', 'a59', 'a267', 'a329', 'a158', 'a190', 'a313', 'a117']
['a202', 'a397', 'a395', 'a51', 'a353', 'a356', 'a80', 'a3', 'a184', 'a157', 'a83', 'a105', 'a266', 'a339', 'a11', 'a41', 'a258', 'a172', 'a386', 'a13']
['a251', 'a229', 'a337', 'a82', 'a77', 'a163', 'a151', 'a223', 'a174', 'a54', 'a81', 'a367', 'a86', 'a376', 'a28', 'a226', 'a257', 'a57', 'a136', 'a261']
['a224', 'a368', 'a23', 'a272', 'a69', 'a102', 'a31', 'a338', 'a65', 'a297', 'a60', 'a379', 'a22', 'a181', 'a237', 'a8', 'a288', 'a50', 'a104', 'a16']
['a388', 'a155', 'a233', 'a215', 'a328', 'a122', 'a287', 'a156', 'a126', 'a106', 'a186', 'a176', 'a52', 'a44', 'a244', 'a94', 'a211', 'a66', 'a332', 'a199']
['a247', 'a352', 'a141', 'a209', 'a254', 'a147', 'a241', 'a183', 'a36', 'a252', 'a293', 'a193', 'a396', 'a333', 'a139', 'a188', 'a364', 'a295', 'a302', 'a290']
['a342', 'a268', 'a361', 'a30', 'a325', 'a101', 'a370', 'a299', 'a154', 'a316', 'a208', 'a14', 'a315', 'a365', 'a200', 'a391', 'a292', 'a270', 'a192', 'a246']
['a146', 'a393', 'a12', 'a45', 'a24', 'a274', 'a35', 'a285', 'a217', 'a113', 'a18', 'a196', 'a331', 'a90', 'a108', 'a259', 'a389', 'a276', 'a177', 'a127']
['a79', 'a189', 'a10', 'a283', 'a97', 'a39', 'a91', 'a128', 'a58', 'a162', 'a67', 'a34', 'a239', 'a40', 'a349', 'a115', 'a47', 'a173', 'a204', 'a278']
['a273', 'a111', 'a363', 'a280', 'a321', 'a0', 'a109', 'a6', 'a182', 'a4', 'a351', 'a344', 'a322', 'a358', 'a235', 'a318', 'a161', 'a168', 'a381', 'a87']
['a277', 'a121', 'a61', 'a222', 'a187', 'a291', 'a271', 'a27', 'a99', 'a380', 'a238', 'a33', 'a210', 'a170', 'a53', 'a118', 'a263', 'a221', 'a166', 'a372']
['a48', 'a46', 'a75', 'a88', 'a73', 'a232', 'a301', 'a371', 'a286', 'a275', 'a225', 'a96', 'a234', 'a148', 'a17', 'a32', 'a249', 'a220', 'a320', 'a377']
['a269', 'a5', 'a76', 'a137', 'a281', 'a300', 'a296', 'a341', 'a195', 'a164', 'a152', 'a198', 'a120', 'a160', 'a1', 'a319', 'a138', 'a336', 'a311', 'a394']
