['0', '250']
['1', '251']
['134', '450']
['3', '253']
['400', '254']
['5', '255']
['6', '256']
['7', '257']
['8', '258']
['9', '259']
['10', '260']
['147', '261']
['12', '486']
['202', '263']
['311', '72']
['15', '278']
['20', '266']
['17', '267']
['18', '478']
['19', '188']
['16', '128']
['264', '271']
['22', '420']
['23', '273']
['24', '148']
['25', '275']
['26', '276']
['27', '277']
['28', '146']
['305', '279']
['30', '424']
['31', '395']
['145', '282']
['33', '283']
['34', '284']
['35', '208']
['36', '286']
['11', '287']
['269', '40']
['39', '289']
['288', '189']
['41', '291']
['42', '38']
['43', '293']
['200', '294']
['366', '295']
['46', '296']
['47', '297']
['13', '298']
['193', '299']
['50', '117']
['67', '301']
['52', '303']
['53', '195']
['464', '304']
['55', '29']
['488', '306']
['57', '307']
['58', '123']
['87', '309']
['60', '310']
['61', '14']
['215', '312']
['63', '313']
['375', '314']
['65', '315']
['66', '407']
['319', '2']
['68', '318']
['155', '219']
['70', '320']
['248', '321']
['460', '322']
['73', '177']
['213', '111']
['405', '439']
['76', '326']
['77', '327']
['78', '125']
['79', '382']
['201', '330']
['81', '75']
['82', '332']
['83', '333']
['329', '435']
['85', '335']
['86', '336']
['167', '337']
['151', '338']
['89', '339']
['90', '340']
['91', '341']
['92', '342']
['93', '343']
['94', '344']
['95', '345']
['96', '346']
['97', '172']
['98', '348']
['99', '349']
['160', '350']
['410', '351']
['45', '352']
['103', '353']
['184', '274']
['105', '355']
['199', '356']
['107', '357']
['108', '358']
['109', '359']
['110', '360']
['324', '361']
['112', '362']
['113', '363']
['114', '364']
['115', '317']
['116', '433']
['482', '367']
['118', '368']
['119', '369']
['120', '370']
['121', '371']
['122', '372']
['323', '373']
['124', '475']
['328', '64']
['126', '376']
['127', '377']
['270', '378']
['129', '379']
['130', '380']
['131', '381']
['495', '84']
['133', '51']
['365', '384']
['135', '385']
['244', '246']
['137', '387']
['138', '462']
['285', '389']
['140', '390']
['141', '443']
['142', '392']
['143', '393']
['144', '394']
['32', '239']
['265', '396']
['37', '397']
['419', '398']
['149', '399']
['150', '4']
['88', '401']
['152', '192']
['153', '403']
['154', '404']
['69', '331']
['156', '406']
['157', '292']
['158', '408']
['159', '409']
['100', '101']
['161', '411']
['162', '412']
['163', '413']
['164', '414']
['241', '415']
['166', '416']
['59', '417']
['168', '74']
['169', '308']
['170', '272']
['171', '421']
['347', '474']
['173', '423']
['174', '280']
['175', '425']
['176', '231']
['354', '427']
['178', '428']
['179', '429']
['325', '430']
['194', '431']
['182', '432']
['181', '104']
['102', '434']
['185', '183']
['186', '436']
['187', '437']
['316', '438']
['290', '180']
['190', '440']
['374', '441']
['402', '442']
['49', '391']
['334', '444']
['302', '445']
['196', '446']
['197', '447']
['198', '448']
['106', '449']
['44', '252']
['480', '451']
['48', '452']
['268', '453']
['204', '454']
['205', '139']
['206', '456']
['207', '457']
['455', '458']
['209', '459']
['472', '21']
['211', '461']
['212', '54']
['418', '422']
['214', '388']
['62', '465']
['216', '466']
['217', '467']
['218', '468']
['383', '469']
['220', '470']
['221', '471']
['222', '210']
['223', '473']
['224', '463']
['225', '191']
['226', '476']
['227', '477']
['228', '203']
['229', '479']
['230', '80']
['426', '481']
['232', '300']
['233', '483']
['234', '484']
['235', '485']
['236', '262']
['237', '487']
['238', '132']
['281', '489']
['240', '490']
['165', '491']
['242', '492']
['243', '493']
['136', '494']
['245', '56']
['386', '496']
['247', '497']
['71', '498']
['249', '499']
