['308', '223', '248', '258']
['113', '125', '249', '373']
['161', '126', '250', '374']
['3', '127', '251', '38']
['77', '178', '252', '376']
['5', '129', '194', '377']
['6', '272', '90', '378']
['270', '131', '255', '446']
['486', '483', '420', '380']
['337', '133', '257', '152']
['10', '11', '426', '382']
['134', '135', '130', '383']
['12', '136', '9', '384']
['15', '364', '211', '385']
['298', '138', '262', '386']
['390', '176', '208', '387']
['16', '140', '264', '344']
['17', '121', '216', '389']
['325', '313', '199', '186']
['19', '143', '267', '391']
['410', '144', '110', '348']
['21', '489', '269', '393']
['22', '185', '332', '394']
['149', '147', '271', '395']
['442', '148', '259', '356']
['25', '485', '273', '440']
['444', '150', '274', '398']
['27', '151', '355', '399']
['28', '381', '276', '400']
['29', '265', '277', '221']
['198', '289', '207', '206']
['31', '155', '406', '403']
['32', '52', '280', '404']
['33', '191', '232', '405']
['4', '158', '153', '279']
['35', '159', '418', '407']
['36', '160', '284', '408']
['37', '412', '285', '409']
['375', '162', '46', '230']
['460', '163', '287', '411']
['40', '101', '307', '89']
['122', '192', '154', '413']
['42', '63', '290', '282']
['119', '220', '414', '415']
['173', '168', '292', '416']
['45', '432', '171', '417']
['286', '170', '193', '283']
['47', '293', '295', '291']
['56', '172', '53', '256']
['49', '336', '297', '421']
['246', '174', '281', '439']
['51', '175', '128', '203']
['80', '139', '300', '424']
['296', '177', '301', '333']
['236', '299', '233', '476']
['477', '179', '303', '427']
['48', '180', '396', '428']
['57', '181', '431', '429']
['58', '182', '237', '430']
['59', '183', '288', '100']
['60', '64', '0', '169']
['61', '93', '81', '433']
['62', '13', '310', '434']
['166', '187', '311', '435']
['322', '188', '312', '334']
['67', '189', '142', '437']
['66', '190', '314', '438']
['423', '156', '315', '422']
['68', '469', '316', '200']
['69', '213', '464', '197']
['247', '253', '318', '24']
['71', '195', '452', '443']
['72', '8', '320', '26']
['73', '441', '321', '445']
['74', '352', '184', '349']
['75', '266', '39', '447']
['304', '305', '324', '309']
['103', '335', '329', '449']
['78', '202', '224', '450']
['79', '65', '70', '109']
['319', '204', '357', '120']
['448', '205', '18', '453']
['82', '402', '102', '454']
['83', '196', '54', '455']
['84', '263', '459', '238']
['85', '479', '425', '457']
['86', '210', '436', '30']
['43', '261', '317', '7']
['88', '212', '34', '323']
['116', '294', '260', '461']
['343', '214', '338', '462']
['91', '372', '339', '463']
['226', '2', '340', '275']
['146', '346', '341', '104']
['94', '218', '342', '123']
['95', '219', '254', '467']
['96', '167', '388', '115']
['97', '87', '345', '165']
['98', '222', '217', '470']
['99', '124', '347', '239']
['397', '326', '392', '472']
['240', '215', '379', '473']
['330', '92', '350', '474']
['44', '331', '351', '475']
['465', '228', '468', '225']
['105', '108', '268', '55']
['106', '20', '354', '478']
['107', '231', '367', '366']
['229', '14', '76', '480']
['242', '302', '328', '481']
['353', '234', '358', '482']
['111', '235', '359', '132']
['112', '227', '360', '484']
['1', '306', '361', '23']
['114', '456', '362', '278']
['458', '471', '363', '487']
['419', '164', '493', '488']
['117', '157', '365', '145']
['118', '451', '209', '490']
['50', '243', '201', '41']
['241', '244', '368', '492']
['141', '245', '369', '137']
['491', '401', '370', '494']
['466', '327', '371', '495']
