['0', '253', '1', '60', '88', '417', '336', '468', '160', '69', '434', '399', '262', '12', '280', '126', '139', '145', '83', '25', '407', '93', '30', '426']
['278', '165', '105', '61', '132', '101', '299', '368', '463', '452', '429', '403', '420', '322', '309', '433', '430', '341', '153', '381', '435', '421', '441', '416']
['2', '22', '133', '62', '109', '317', '122', '31', '162', '182', '82', '222', '242', '240', '282', '9', '247', '287', '123', '472', '409', '436', '326', '75']
['3', '286', '146', '73', '312', '58', '212', '77', '431', '185', '390', '344', '255', '466', '354', '5', '8', '224', '440', '94', '43', '298', '152', '339']
['219', '24', '188', '171', '360', '104', '237', '271', '321', '140', '342', '411', '244', '261', '245', '375', '320', '223', '364', '384', '404', '210', '444', '380']
['154', '238', '217', '470', '85', '410', '168', '423', '21', '394', '226', '172', '343', '383', '331', '180', '325', '18', '269', '385', '405', '252', '36', '465']
['366', '26', '211', '359', '275', '106', '128', '414', '379', '111', '206', '205', '246', '76', '79', '306', '214', '254', '272', '107', '406', '283', '181', '161']
['40', '96', '251', '216', '87', '200', '143', '323', '127', '294', '99', '150', '335', '19', '270', '11', '372', '347', '310', '393', '400', '130', '235', '447']
['285', '28', '48', '346', '304', '144', '110', '334', '446', '231', '232', '17', '248', '301', '14', '100', '328', '348', '432', '80', '114', '428', '448', '449']
['220', '29', '49', '332', '89', '402', '250', '382', '169', '98', '209', '59', '374', '166', '289', '281', '329', '157', '215', '427', '462', '151', '159', '174']
['234', '64', '137', '112', '388', '267', '120', '227', '202', '190', '337', '230', '178', '34', '438', '258', '330', '350', '370', '355', '451', '164', '450', '376']
['340', '264', '15', '365', '412', '315', '131', '338', '179', '207', '333', '44', '47', '401', '378', '311', '288', '351', '136', '324', '469', '363', '41', '95']
['108', '260', '52', '265', '92', '117', '125', '97', '225', '192', '276', '208', '391', '456', '292', '39', '473', '156', '257', '102', '42', '228', '345', '300']
['13', '115', '53', '263', '63', '467', '476', '183', '173', '193', '138', '308', '307', '362', '293', '316', '27', '177', '373', '459', '454', '268', '453', '4']
['290', '318', '65', '274', '72', '91', '199', '155', '284', '478', '442', '10', '68', '184', '187', '314', '142', '389', '249', '66', '239', '369', '353', '474']
['46', '35', '55', '479', '471', '167', '135', '327', '175', '195', '279', '121', '81', '86', '189', '45', '415', '51', '213', '395', '54', '201', '218', '475']
['16', '445', '398', '163', '460', '386', '371', '191', '176', '196', '170', '57', '256', '424', '148', '413', '204', '186', '305', '357', '361', '422', '259', '425']
['141', '38', '147', '273', '356', '50', '243', '349', '203', '439', '313', '124', '103', '358', '408', '319', '33', '277', '303', '113', '352', '437', '457', '477']
['296', '7', '397', '78', '295', '197', '74', '158', '236', '198', '455', '241', '387', '297', '20', '149', '32', '118', '291', '56', '418', '37', '458', '194']
['6', '84', '229', '129', '266', '221', '90', '377', '464', '233', '134', '119', '67', '116', '367', '392', '23', '443', '71', '461', '419', '302', '396', '70']
