['a76', 'a174', 'a151', 'a225', 'a233', 'a259', 'a214', 'a7', 'a360', 'a256', 'a99', 'a187']
['a438', 'a42', 'a303', 'a134', 'a446', 'a149', 'a386', 'a91', 'a460', 'a212', 'a1', 'a59']
['a268', 'a352', 'a427', 'a85', 'a21', 'a453', 'a243', 'a39', 'a323', 'a302', 'a190', 'a232']
['a402', 'a410', 'a37', 'a375', 'a126', 'a121', 'a111', 'a378', 'a282', 'a388', 'a404', 'a93']
['a374', 'a51', 'a239', 'a183', 'a36', 'a179', 'a432', 'a104', 'a342', 'a241', 'a61', 'a358']
['a6', 'a301', 'a80', 'a164', 'a166', 'a206', 'a246', 'a247', 'a53', 'a46', 'a324', 'a127']
['a211', 'a236', 'a403', 'a106', 'a167', 'a193', 'a197', 'a287', 'a178', 'a367', 'a26', 'a338']
['a138', 'a240', 'a297', 'a162', 'a408', 'a208', 'a79', 'a118', 'a17', 'a318', 'a320', 'a109']
['a420', 'a337', 'a89', 'a69', 'a169', 'a425', 'a25', 'a322', 'a72', 'a229', 'a271', 'a479']
['a449', 'a286', 'a58', 'a430', 'a40', 'a459', 'a210', 'a290', 'a330', 'a457', 'a269', 'a380']
['a32', 'a477', 'a215', 'a307', 'a265', 'a230', 'a288', 'a361', 'a442', 'a200', 'a419', 'a362']
['a351', 'a52', 'a92', 'a421', 'a172', 'a400', 'a472', 'a9', 'a470', 'a390', 'a412', 'a88']
['a314', 'a368', 'a356', 'a424', 'a353', 'a333', 'a253', 'a399', 'a16', 'a428', 'a413', 'a372']
['a23', 'a176', 'a78', 'a447', 'a336', 'a114', 'a110', 'a429', 'a161', 'a382', 'a113', 'a329']
['a19', 'a466', 'a95', 'a328', 'a451', 'a339', 'a83', 'a295', 'a185', 'a262', 'a250', 'a274']
['a33', 'a238', 'a96', 'a344', 'a129', 'a216', 'a275', 'a309', 'a48', 'a296', 'a285', 'a456']
['a436', 'a184', 'a231', 'a137', 'a327', 'a217', 'a175', 'a377', 'a394', 'a123', 'a35', 'a266']
['a468', 'a452', 'a278', 'a8', 'a317', 'a101', 'a407', 'a422', 'a159', 'a163', 'a293', 'a209']
['a196', 'a222', 'a152', 'a12', 'a107', 'a202', 'a467', 'a70', 'a441', 'a194', 'a220', 'a381']
['a165', 'a273', 'a283', 'a140', 'a15', 'a100', 'a203', 'a300', 'a219', 'a45', 'a249', 'a49']
['a396', 'a27', 'a349', 'a141', 'a66', 'a146', 'a373', 'a417', 'a144', 'a311', 'a270', 'a171']
['a22', 'a395', 'a469', 'a142', 'a182', 'a192', 'a56', 'a310', 'a392', 'a267', 'a332', 'a465']
['a10', 'a284', 'a112', 'a143', 'a443', 'a122', 'a147', 'a133', 'a77', 'a71', 'a186', 'a463']
['a474', 'a376', 'a228', 'a205', 'a279', 'a218', 'a264', 'a304', 'a308', 'a384', 'a155', 'a3']
['a189', 'a24', 'a105', 'a254', 'a173', 'a50', 'a321', 'a237', 'a444', 'a306', 'a125', 'a462']
['a5', 'a379', 'a272', 'a132', 'a224', 'a226', 'a201', 'a385', 'a131', 'a135', 'a426', 'a55']
['a87', 'a213', 'a341', 'a181', 'a64', 'a227', 'a439', 'a445', 'a345', 'a199', 'a348', 'a153']
['a28', 'a68', 'a54', 'a148', 'a57', 'a252', 'a464', 'a393', 'a458', 'a67', 'a415', 'a343']
['a29', 'a221', 'a316', 'a139', 'a276', 'a369', 'a84', 'a363', 'a450', 'a170', 'a475', 'a359']
['a30', 'a292', 'a448', 'a387', 'a108', 'a260', 'a207', 'a277', 'a350', 'a305', 'a326', 'a281']
['a31', 'a383', 'a365', 'a340', 'a191', 'a124', 'a409', 'a82', 'a312', 'a391', 'a431', 'a471']
['a11', 'a423', 'a156', 'a150', 'a97', 'a313', 'a401', 'a435', 'a177', 'a234', 'a235', 'a364']
['a65', 'a73', 'a60', 'a90', 'a180', 'a334', 'a480', 'a195', 'a145', 'a81', 'a14', 'a473']
['a34', 'a74', 'a94', 'a154', 'a418', 'a299', 'a130', 'a406', 'a354', 'a41', 'a157', 'a160']
['a251', 'a291', 'a115', 'a4', 'a357', 'a335', 'a440', 'a315', 'a355', 'a319', 'a455', 'a370']
['a168', 'a416', 'a116', 'a47', 'a223', 'a261', 'a117', 'a119', 'a280', 'a62', 'a20', 'a245']
['a263', 'a13', 'a136', 'a242', 'a366', 'a255', 'a389', 'a128', 'a476', 'a44', 'a188', 'a103']
['a38', 'a434', 'a298', 'a158', 'a331', 'a258', 'a98', 'a405', 'a346', 'a398', 'a411', 'a325']
['a289', 'a294', 'a63', 'a397', 'a248', 'a43', 'a437', 'a18', 'a102', 'a433', 'a454', 'a257']
['a2', 'a86', 'a120', 'a414', 'a371', 'a75', 'a198', 'a204', 'a347', 'a478', 'a461', 'a244']
