['0', '25', '288', '211', '100', '125', '466', '416', '200', '31', '105', '139', '411', '269', '370', '375', '203', '1', '259', '256']
['159', '26', '313', '247', '8', '126', '283', '334', '275', '226', '131', '276', '301', '157', '351', '233', '242', '426', '160', '249']
['2', '104', '260', '77', '102', '127', '386', '23', '494', '388', '455', '277', '72', '409', '84', '482', '222', '385', '311', '422']
['349', '20', '468', '28', '103', '128', '33', '178', '392', '228', '353', '19', '309', '397', '81', '366', '246', '266', '469', '478']
['43', '147', '417', '79', '27', '302', '154', '298', '129', '229', '68', '279', '461', '162', '338', '379', '70', '92', '429', '479']
['5', '30', '306', '336', '446', '486', '191', '180', '205', '402', '399', '280', '305', '71', '355', '62', '287', '250', '169', '480']
['6', '22', '286', '17', '321', '368', '325', '293', '206', '307', '199', '120', '140', '331', '356', '224', '406', '413', '54', '210']
['285', '453', '57', '245', '174', '145', '326', '182', '244', '133', '257', '282', '167', '332', '357', '382', '289', '175', '457', '372']
['390', '408', '204', '83', '38', '232', '21', '418', '208', '88', '432', '151', '308', '192', '66', '383', '181', '114', '458', '391']
['403', '34', '59', '113', '80', '464', '425', '184', '493', '37', '474', '284', '371', '52', '359', '165', '327', '328', '459', '484']
['73', '384', '60', '278', '492', '369', '451', '463', '134', '272', '177', '7', '310', '215', '360', '146', '410', '268', '460', '485']
['188', '36', '61', '86', '18', '98', '161', '186', '75', '346', '53', '345', '452', '164', '431', '152', '56', '119', '304', '295']
['15', '49', '209', '435', '112', '13', '213', '187', '477', '237', '262', '361', '312', '337', '47', '223', '330', '51', '462', '487']
['401', '108', '63', '376', '149', '138', '163', '202', '343', '238', '263', '436', '254', '354', '363', '319', '377', '438', '115', '488']
['14', '39', '64', '132', '55', '292', '109', '389', '214', '239', '470', '423', '448', '339', '364', '352', '414', '439', '396', '107']
['12', '248', '65', '166', '264', '433', '35', '190', '201', '240', '265', '290', '398', '412', '365', '395', '415', '253', '168', '251']
['16', '231', '358', '44', '116', '111', '90', '106', '216', '241', '428', '291', '173', '341', '171', '483', '317', '441', '394', '258']
['172', '179', '387', '314', '117', '142', '85', '333', '444', '347', '267', '335', '235', '342', '367', '323', '141', '136', '467', '220']
['440', '4', '481', '93', '118', '143', '465', '193', '218', '29', '489', '153', '185', '329', '490', '91', '183', '124', '58', '473']
['281', '217', '69', '94', '454', '148', '10', '194', '89', '207', '156', '294', '227', '450', '135', '150', '419', '393', '32', '11']
['78', '45', '362', '95', '212', '195', '261', '374', '110', '82', '270', '130', '320', '300', '123', '405', '420', '445', '318', '495']
['158', '46', '340', '96', '121', '427', '378', '196', '221', '236', '271', '296', '155', '9', '303', '219', '421', '430', '471', '496']
['225', '50', '381', '144', '122', '40', '407', '197', '230', '76', '243', '297', '99', '137', '456', '434', '41', '447', '348', '497']
['443', '48', '252', '442', '350', '273', '316', '198', '67', '400', '97', '42', '491', '472', '373', '315', '101', '404', '87', '498']
['24', '234', '74', '322', '176', '476', '380', '475', '170', '189', '274', '299', '324', '3', '437', '255', '424', '449', '344', '499']
