['a45', 'a20', 'a170', 'a314', 'a333', 'a175', 'a343', 'a290', 'a239', 'a200', 'a336', 'a360', 'a49', 'a166', 'a330', 'a125', 'a114', 'a281', 'a312', 'a216']
['a75', 'a289', 'a89', 'a365', 'a193', 'a393', 'a242', 'a123', 'a283', 'a113', 'a40', 'a220', 'a284', 'a70', 'a176', 'a159', 'a252', 'a328', 'a309', 'a126']
['a191', 'a377', 'a38', 'a230', 'a121', 'a133', 'a275', 'a303', 'a141', 'a229', 'a185', 'a6', 'a346', 'a140', 'a399', 'a71', 'a160', 'a25', 'a85', 'a362']
['a143', 'a389', 'a201', 'a264', 'a357', 'a245', 'a168', 'a363', 'a148', 'a366', 'a322', 'a331', 'a144', 'a58', 'a375', 'a183', 'a90', 'a158', 'a308', 'a348']
['a129', 'a323', 'a43', 'a374', 'a81', 'a180', 'a73', 'a259', 'a255', 'a41', 'a228', 'a78', 'a26', 'a46', 'a341', 'a51', 'a241', 'a334', 'a370', 'a247']
['a132', 'a387', 'a235', 'a373', 'a82', 'a116', 'a97', 'a206', 'a105', 'a171', 'a36', 'a337', 'a135', 'a232', 'a146', 'a98', 'a388', 'a67', 'a234', 'a10']
['a157', 'a94', 'a93', 'a246', 'a17', 'a108', 'a265', 'a8', 'a320', 'a355', 'a77', 'a356', 'a205', 'a354', 'a256', 'a131', 'a260', 'a237', 'a177', 'a103']
['a217', 'a124', 'a92', 'a382', 'a127', 'a63', 'a262', 'a62', 'a178', 'a27', 'a24', 'a102', 'a68', 'a361', 'a350', 'a335', 'a338', 'a286', 'a249', 'a392']
['a202', 'a397', 'a395', 'a240', 'a298', 'a386', 'a138', 'a72', 'a329', 'a304', 'a296', 'a188', 'a359', 'a218', 'a277', 'a194', 'a130', 'a115', 'a223', 'a279']
['a54', 'a295', 'a231', 'a142', 'a32', 'a61', 'a42', 'a83', 'a174', 'a233', 'a197', 'a80', 'a86', 'a376', 'a74', 'a66', 'a227', 'a154', 'a184', 'a327']
['a321', 'a368', 'a23', 'a272', 'a316', 'a364', 'a299', 'a263', 'a65', 'a224', 'a60', 'a109', 'a273', 'a181', 'a311', 'a212', 'a288', 'a136', 'a104', 'a16']
['a319', 'a155', 'a111', 'a203', 'a112', 'a13', 'a134', 'a9', 'a95', 'a106', 'a186', 'a59', 'a69', 'a214', 'a244', 'a274', 'a99', 'a226', 'a199', 'a351']
['a56', 'a352', 'a266', 'a209', 'a270', 'a147', 'a301', 'a128', 'a347', 'a122', 'a369', 'a248', 'a396', 'a332', 'a293', 'a0', 'a342', 'a189', 'a302', 'a213']
['a345', 'a153', 'a21', 'a35', 'a325', 'a101', 'a117', 'a100', 'a4', 'a243', 'a208', 'a318', 'a315', 'a11', 'a340', 'a391', 'a367', 'a254', 'a192', 'a353']
['a215', 'a381', 'a12', 'a29', 'a257', 'a96', 'a267', 'a285', 'a390', 'a156', 'a313', 'a196', 'a372', 'a88', 'a150', 'a119', 'a179', 'a276', 'a182', 'a225']
['a15', 'a19', 'a149', 'a306', 'a291', 'a165', 'a253', 'a324', 'a139', 'a162', 'a187', 'a317', 'a18', 'a44', 'a7', 'a339', 'a310', 'a236', 'a211', 'a278']
['a30', 'a280', 'a268', 'a52', 'a39', 'a251', 'a31', 'a198', 'a358', 'a57', 'a50', 'a344', 'a349', 'a2', 'a297', 'a14', 'a161', 'a292', 'a204', 'a87']
['a107', 'a294', 'a55', 'a385', 'a378', 'a261', 'a271', 'a34', 'a282', 'a380', 'a238', 'a33', 'a84', 'a64', 'a221', 'a118', 'a250', 'a53', 'a287', 'a3']
['a48', 'a195', 'a300', 'a47', 'a210', 'a307', 'a394', 'a169', 'a190', 'a5', 'a79', 'a258', 'a383', 'a173', 'a207', 'a384', 'a37', 'a145', 'a28', 'a326']
['a172', 'a305', 'a76', 'a137', 'a167', 'a222', 'a398', 'a151', 'a22', 'a164', 'a152', 'a91', 'a120', 'a163', 'a1', 'a110', 'a379', 'a371', 'a269', 'a219']
