['50', '220', '307', '126', '136', '213', '423', '61', '472', '418', '293']
['42', '454', '251', '312', '479', '16', '451', '328', '139', '257', '102']
['203', '256', '152', '117', '352', '402', '458', '254', '367', '135', '209']
['53', '103', '94', '108', '483', '173', '362', '452', '201', '187', '284']
['393', '414', '299', '355', '140', '404', '75', '291', '290', '64', '55']
['105', '58', '255', '214', '114', '130', '245', '195', '388', '239', '384']
['6', '56', '200', '191', '10', '242', '406', '456', '470', '110', '81']
['133', '107', '157', '207', '217', '63', '229', '412', '260', '83', '285']
['459', '450', '287', '158', '208', '70', '354', '358', '440', '325', '317']
['387', '188', '269', '309', '308', '409', '219', '180', '426', '1', '338']
['468']
['430']
['95', '155', '112', '26', '266', '228', '25', '431', '249', '202', '142']
['21', '258', '156', '453', '278', '159', '162', '360', '351', '9', '237']
['154', '99', '311', '340', '432', '171', '48', '391', '419', '383', '170']
['199', '115', '165', '8', '286', '365', '415', '24', '437', '138', '407']
['333', '194', '448', '427', '30', '35', '240', '353', '497', '3', '85']
['149', '89', '167', '267', '403', '478', '467', '31', '241', '184', '80']
['429']
['19', '263', '28', '169', '77', '408', '264', '330', '305', '461', '88']
['20', '268', '12', '127', '60', '270', '329', '382', '357', '46', '488']
['283', '71', '123', '280', '271', '160', '168', '471', '147', '247', '223']
['211', '350', '143', '97', '272', '205', '319', '316', '259', '29', '366']
['261', '361', '164', '494', '230', '40', '473', '322', '324', '177', '405']
['344', '124', '343', '445', '265', '11', '150', '342', '313', '43', '363']
['462', '52', '125', '275', '375', '416', '475', '499', '104', '377', '495']
['120', '183', '33', '176', '226', '381', '62', '439', '294', '476', '198']
['332', '321', '2', '227', '277', '411', '185', '128', '359', '345', '331']
['166', '218', '304', '378', '84', '225', '41', '368', '235', '5', '300']
['443']
['148', '485', '348', '410', '91', '428', '146', '379', '466', '215', '301']
['457', '181', '281', '276', '390', '37', '337', '370', '302', '253', '477']
['32', '82', '132', '250', '232', '490', '145', '248', '425', '196', '190']
['373', '292', '233', '163', '433', '54', '186', '491', '129', '482', '262']
['380', '326', '73', '364', '174', '434', '469', '144', '349', '121', '100']
['231', '13', '398', '385', '66', '182', '244', '295', '386', '131', '442']
['44', '18', '310', '65', '481', '376', '336', '339', '436', '486', '252']
['417']
['221', '496', '238', '288', '314', '413', '438', '401', '101', '69', '212']
['39', '396', '109', '318', '113', '178', '389', '323', '489', '274', '447']
['298', '137', '400', '282', '484', '236', '422', '119', '315', '306', '175']
['492', '141', '347', '59', '335', '441', '216', '92', '74', '189', '334']
['498', '204', '192', '356', '68', '474', '392', '17', '34', '87', '161']
['38', '122', '193', '7', '273', '222', '303', '4', '493', '369', '179']
['116', '153', '327', '14', '464', '444', '79', '67', '243', '206', '455']
['45', '36', '394', '111', '22', '395', '435', '210', '297', '420', '399']
['463', '96', '106', '57', '246', '296', '346', '23', '279', '465', '320']
['47', '172', '76', '197', '487', '234', '98', '86', '374', '341', '49']
['78', '27', '371', '90', '118', '480', '460', '51', '421', '372', '72']
['446', '224', '0', '151', '449', '289', '93', '15', '397', '134', '424']
