['421', '424', '9', '414', '325', '425', '247', '423', '349', '416', '412', '405', '413', '406', '280', '400', '168', '276', '161', '432', '403', '420', '493', '484', '408']
['321', '306', '366', '410', '81', '398', '121', '369', '127', '372', '215', '25', '136', '87', '427', '5', '119', '371', '361', '139', '419', '373', '357', '232', '312']
['22', '326', '265', '417', '82', '244', '99', '84', '409', '266', '202', '269', '411', '264', '253', '94', '441', '342', '330', '294', '252', '422', '267', '497', '92']
['482', '23', '43', '63', '124', '350', '12', '34', '58', '193', '27', '31', '56', '477', '283', '303', '287', '28', '175', '145', '54', '36', '434', '246', '41']
['273', '258', '292', '256', '278', '328', '191', '250', '257', '268', '291', '227', '271', '282', '284', '251', '279', '235', '298', '261', '457', '179', '149', '259', '270']
['290', '440', '299', '300', '468', '494', '495', '319', '449', '60', '491', '481', '288', '285', '478', '498', '315', '475', '195', '447', '486', '219', '496', '14', '485']
['64', '395', '381', '66', '86', '396', '69', '384', '378', '387', '433', '52', '445', '348', '389', '376', '385', '281', '340', '386', '431', '309', '426', '224', '392']
['178', '204', '55', '190', '212', '332', '220', '223', '181', '177', '207', '218', '67', '216', '205', '418', '78', '185', '188', '231', '262', '200', '211', '104', '213']
['225', '118', '48', '221', '88', '111', '120', '108', '107', '96', '95', '93', '83', '110', '106', '115', '324', '75', '487', '89', '308', '404', '80', '85', '116']
['461', '237', '295', '37', '275', '233', '126', '367', '293', '490', '209', '364', '249', '255', '296', '460', '243', '15', '239', '453', '234', '489', '226', '141', '289']
['132', '192', '50', '184', '194', '182', '129', '70', '51', '135', '466', '71', '131', '148', '133', '142', '415', '228', '187', '454', '144', '196', '146', '180', '125']
['230', '476', '323', '143', '304', '147', '318', '310', '130', '322', '138', '314', '320', '128', '402', '311', '260', '488', '313', '316', '301', '382', '317', '302', '305']
['479', '32', '173', '156', '117', '65', '160', '152', '166', '171', '8', '102', '483', '456', '163', '151', '165', '159', '167', '154', '174', '155', '210', '346', '158']
['76', '208', '374', '446', '359', '331', '439', '360', '362', '186', '351', '109', '42', '354', '356', '137', '365', '353', '363', '355', '327', '499', '370', '368', '335']
['463', '393', '467', '272', '437', '114', '134', '222', '397', '112', '214', '377', '254', '379', '383', '388', '201', '451', '492', '394', '274', '263', '390', '474', '103']
['170', '35', '45', '39', '47', '164', '172', '46', '30', '105', '334', '49', '10', '38', '169', '150', '40', '157', '375', '29', '113', '343', '100', '44', '162']
['448', '238', '337', '428', '217', '442', '241', '438', '122', '430', '79', '236', '240', '429', '339', '347', '336', '443', '435', '229', '245', '436', '358', '473', '344']
['198', '407', '57', '77', '97', '61', '197', '98', '90', '73', '74', '53', '68', '59', '203', '401', '91', '248', '444', '307', '62', '286', '242', '140', '72']
['18', '333', '2', '399', '176', '19', '20', '3', '7', '17', '380', '1', '21', '345', '13', '183', '4', '0', '24', '11', '6', '297', '16', '338', '189']
['471', '458', '277', '465', '352', '101', '123', '462', '455', '199', '33', '391', '464', '452', '153', '472', '329', '469', '26', '450', '470', '480', '341', '459', '206']
