['48', '244', '83', '138']
['153', '64', '9', '194']
['214', '65', '208', '109']
['132', '222', '192', '27']
['111', '234', '193', '38']
['103', '106', '171', '108']
['35', '69', '3', '26']
['30', '224', '121', '213']
['168', '46', '233', '151']
['207', '148', '130', '166']
['10', '85', '136', '157']
['202', '75', '227', '199']
['29', '211', '190', '114']
['163', '76', '102', '31']
['178', '77', '50', '167']
['161', '206', '215', '204']
['16', '220', '175', '72']
['17', '156', '210', '164']
['230', '6', '73', '53']
['165', '88', '145', '195']
['140', '146', '231', '226']
['21', '135', '185', '197']
['22', '203', '68', '221']
['120', '238', '212', '43']
['24', '78', '101', '139']
['142', '209', '74', '248']
['42', '70', '127', '128']
['23', '241', '61', '67']
['28', '57', '242', '8']
['137', '7', '39', '154']
['49', '93', '33', '219']
['94', '124', '247', '41']
['246', '158', '129', '147']
['143', '84', '236', '176']
['97', '144', '223', '32']
['99', '44', '218', '55']
['125', '115', '12', '107']
['37', '174', '79', '90']
['160', '5', '54', '184']
['34', '191', '95', '66']
['182', '119', '15', '1']
['245', '113', '11', '81']
['110', '40', '188', '205']
['36', '86', '232', '18']
['187', '152', '170', '200']
['155', '243', '56', '123']
['133', '100', '105', '225']
['235', '25', '179', '45']
['13', '4', '189', '237']
['0', '63', '201', '89']
['159', '186', '239', '104']
['51', '216', '177', '240']
['150', '131', '169', '71']
['52', '116', '149', '122']
['196', '117', '180', '98']
['87', '183', '181', '47']
['91', '59']
['20', '96', '118', '162']
['58', '62', '198', '2']
['229', '172', '228', '173']
['60', '112', '19', '249']
['141', '14', '80', '217']
['82', '134', '126', '92']
