['y5', 'w6', 'p10', 'u6', 'v2', 's6', 'i5', 'e9', 'd1', 'y4']
['u10', 'h6', 'l7', 'h10', 'u7', 'p9', 'v7', 'l6', 'v9', 'q2']
['q1', 'h8', 'c5', 'y8', 'b4', 'f2', 'k6', 'f8', 'y7', 's10']
['a4', 'm4', 'j6', 'j9', 'e6', 'x3', 'k9', 'h1', 'h7', 'i2']
['e7', 'e10', 'o10', 'k3', 't4', 't8', 'u1', 's5', 'b6', 'u5']
['p8', 'b10', 'q10', 'q9', 'm1', 'j3', 'e3', 'v8', 'b1', 'i9']
['s1', 'm3', 'f9', 'b8', 's9', 'a8', 'p6', 'd9', 'u3', 'p7']
['i3', 'v1', 'g3', 'v5', 't1', 'q4', 'n1', 't6', 'l10', 'g4']
['o5', 'n8', 'c9', 'd2', 'o8', 'm7', 'b9', 'n9', 'r7', 's3']
['w7', 'r3', 'l5', 'k7', 'w2', 'v3', 'm8', 'n2', 'r2', 'v10']
['e4', 'q3', 'v4', 'h2', 'f3', 'a9', 'y10', 'q8', 's4', 'c3']
['r6', 'x2', 'g10', 'a6', 'g5', 'm9', 'g7', 'g6', 'g1', 'u9']
['m6', 'f5', 'w10', 't10', 'i7', 'f7', 'a7', 'j10', 'a10', 'e1']
['o1', 'j1', 'k1', 's7', 'c8', 'q5', 'c1', 'b2', 'n5', 'i10']
['o3', 'c7', 'j5', 'r4', 'd6', 'c4', 'l2', 'e5', 'j4', 'd3']
['p4', 'r5', 'n10', 'y1', 'y3', 'p5', 'u4', 'k10', 'p1', 'o6']
['d4', 'p3', 'r9', 'c6', 'a2', 'u8', 't2', 't9', 'e2', 'm5']
['x9', 'c2', 'l1', 'x6', 'x10', 'x7', 'm2', 'x1', 'w1', 'w8']
['a1', 'a5', 'x8', 'n7', 'f1', 'k5', 'n6', 'a3', 'p2', 'k2']
['q7', 'j2', 'l4', 'l3', 'g9', 'd7', 'o7', 's2', 'b5', 'd8']
['k4', 'o4', 'h3', 'o2', 'j8', 'k8', 'y6', 'e8', 'r10', 'x4']
['r8', 't5', 'b3', 'w3', 't7', 'd5', 'i1', 'i6', 's8', 'f4']
['r1', 'j7', 'w5', 'w9', 'q6', 'f10', 'v6', 'w4', 'h9', 'f6']
['h5', 'm10', 'o9', 'b7', 'l9', 'i8', 'y2', 'x5', 'n3', 'n4']
['i4', 'g2', 'h4', 'y9', 't3', 'u2', 'g8', 'd10', 'l8', 'c10']
