['150', '303', '213', '151', '30', '251', '252']
['2', '214', '296', '298', '297', '301', '300']
['3', '41', '278', '153', '35', '253', '176']
['4', '26', '104', '154', '163', '310', '25']
['168', '158', '161', '155', '157', '291', '305']
['347', '326', '42', '323', '327', '114', '232']
['125', '121', '126', '313', '207', '110', '123']
['8', '36', '287', '222', '208', '152', '40']
['306', '290', '302', '159', '156', '311', '309']
['256', '273', '257', '221', '258', '72', '254']
['17', '15', '28', '16', '22', '171', '19']
['183', '312', '299', '76', '295', '102', '294']
['199', '197', '34', '205', '210', '209', '204']
['14', '9', '56', '164', '52', '1', '314']
['266', '264', '261', '260', '74', '265', '315']
['188', '66', '186', '211', '184', '64', '316']
['11', '133', '75', '289', '217', '10', '284']
['321', '68', '259', '5', '218', '143', '318']
['230', '223', '243', '244', '219', '140', '319']
['179', '177', '268', '267', '178', '270', '317']
['21', '71', '79', '83', '320', '271', '18']
['187', '191', '194', '286', '193', '272', '190']
['241', '245', '242', '173', '175', '169', '239']
['216', '32', '124', '120', '119', '132', '29']
['304', '227', '81', '231', '225', '228', '229']
['54', '53', '107', '113', '70', '51', '170']
['58', '77', '142', '226', '235', '277', '206']
['111', '78', '128', '220', '47', '49', '328']
['281', '240', '129', '31', '144', '198', '329']
['201', '59', '340', '180', '181', '280', '146']
['20', '61', '131', '60', '130', '127', '62']
['331', '82', '100', '292', '334', '282', '332']
['33', '250', '67', '12', '84', '13', '80']
['105', '233', '160', '24', '234', '236', '27']
['118', '109', '116', '115', '117', '285', '112']
['103', '167', '136', '185', '335', '333', '336']
['96', '87', '137', '85', '88', '69', '91']
['38', '275', '274', '276', '339', '288', '338']
['39', '89', '139', '189', '135', '86', '134']
['138', '307', '192', '165', '57', '196', '195']
['162', '99', '166', '325', '149', '90', '341']
['106', '92', '98', '215', '324', '248', '342']
['43', '93', '269', '37', '255', '293', '349']
['44', '55', '50', '122', '48', '45', '46']
['94', '95', '145', '23', '97', '182', '172']
['344', '174', '330', '345', '263', '262', '346']
['7', '73', '147', '224', '283', '148', '6']
['108', '63', '202', '247', '212', '101', '348']
['237', '279', '238', '308', '249', '337', '343']
['203', '246', '65', '200', '322', '141', '350']
