['179', '59', '40', '60', '65', '100', '120', '291', '160', '180', '200', '10', '240', '190', '149', '300', '320', '17', '139', '95', '400', '19', '12', '2']
['415', '360', '455', '207', '81', '440', '345', '141', '161', '111', '201', '221', '241', '87', '281', '301', '321', '232', '181', '381', '401', '28', '441', '461']
['412', '213', '42', '76', '98', '170', '144', '142', '155', '182', '202', '222', '348', '53', '380', '302', '99', '376', '362', '124', '402', '136', '442', '45']
['184', '23', '43', '157', '83', '131', '310', '357', '163', '437', '140', '223', '243', '105', '283', '303', '323', '343', '363', '383', '403', '423', '298', '463']
['153', '24', '85', '21', '84', '322', '476', '56', '346', '405', '204', '194', '244', '264', '354', '312', '324', '75', '364', '217', '404', '424', '325', '167']
['342', '0', '188', '347', '44', '70', '216', '145', '470', '185', '205', '229', '245', '265', '4', '6', '419', '9', '344', '385', '3', '74', '378', '269']
['169', '50', '220', '66', '86', '106', '92', '130', '454', '284', '289', '226', '122', '266', '339', '306', '290', '107', '218', '386', '47', '117', '467', '466']
['8', '132', '125', '191', '311', '90', '116', '147', '462', '187', '406', '293', '337', '267', '286', '307', '327', '391', '367', '387', '172', '276', '447', '121']
['409', '430', '48', '89', '88', '166', '5', '353', '168', '148', '365', '146', '52', '177', '288', '308', '328', '373', '446', '103', '408', '212', '448', '468']
['436', '279', '254', '69', '435', '109', '129', '26', '108', '189', '209', '225', '64', '465', '206', '309', '329', '282', '15', '389', '32', '429', '449', '162']
['96', '390', '280', '247', '464', '110', '361', '304', '102', '260', '210', '230', '250', '270', '326', '370', '330', '316', '68', '379', '123', '479', '450', '256']
['341', '356', '197', '71', '349', '22', '375', '151', '80', '203', '395', '231', '458', '159', '14', '261', '57', '133', '97', '27', '411', '431', '451', '471']
['101', '7', '248', '249', '158', '38', '258', '152', '456', '472', '428', '11', '252', '272', '368', '150', '305', '393', '372', '285', '460', '432', '452', '115']
['13', '33', '67', '73', '93', '113', '82', '49', '173', '193', '228', '178', '358', '20', '388', '91', '333', '215', '426', '268', '413', '104', '335', '263']
['277', '34', '54', '425', '94', '114', '371', '58', '174', '224', '46', '475', '274', '30', '294', '314', '127', '186', '382', '234', '414', '273', '138', '474']
['369', '35', '55', '208', '313', '199', '238', '233', '350', '195', '227', '251', '255', '275', '444', '51', '242', '334', '417', '171', '1', '374', '41', '407']
['16', '36', '176', '112', '421', '355', '165', '156', '246', '259', '315', '352', '287', '236', '296', '175', '336', '392', '164', '396', '331', '262', '29', '422']
['340', '37', '416', '77', '134', '61', '137', '18', '433', '443', '72', '237', '257', '295', '297', '317', '377', '143', '473', '397', '62', '183', '457', '420']
['434', '31', '154', '78', '351', '118', '410', '271', '253', '198', '299', '135', '63', '278', '384', '318', '453', '477', '445', '398', '418', '438', '235', '292']
['469', '39', '211', '79', '332', '119', '478', '126', '25', '192', '219', '239', '196', '394', '366', '319', '338', '359', '214', '399', '128', '439', '459', '427']
