['496', '377', '40', '190', '286', '415', '432', '91', '160', '212', '386', '439', '402', '260', '383', '247', '457', '285', '68', '119', '194', '477', '451', '418', '142']
['215', '353', '41', '196', '448', '116', '480', '236', '85', '63', '289', '341', '152', '441', '276', '417', '90', '219', '62', '330', '401', '170', '485', '294', '481']
['206', '120', '336', '218', '82', '161', '57', '246', '266', '479', '135', '339', '409', '404', '405', '334', '30', '81', '362', '382', '463', '12', '365', '29', '482']
['36', '180', '342', '19', '83', '153', '235', '143', '163', '176', '4', '223', '22', '263', '305', '327', '323', '424', '363', '280', '433', '72', '35', '92', '234']
['217', '24', '287', '309', '168', '295', '288', '321', '250', '209', '310', '224', '75', '221', '151', '44', '324', '275', '45', '345', '352', '11', '360', '71', '155']
['5', '237', '322', '292', '299', '290', '474', '145', '100', '185', '64', '312', '245', '178', '184', '98', '378', '499', '459', '248', '130', '425', '114', '422', '189']
['54', '26', '46', '252', '113', '364', '2', '318', '39', '186', '307', '376', '356', '162', '80', '272', '88', '141', '137', '233', '385', '222', '344', '444', '147']
['7', '56', '165', '264', '87', '107', '127', '277', '70', '187', '149', '249', '498', '267', '461', '492', '350', '229', '367', '65', '76', '393', '447', '182', '413']
['8', '106', '48', '133', '34', '102', '467', '325', '394', '478', '259', '296', '53', '332', '452', '308', '95', '220', '368', '388', '74', '61', '104', '468', '398']
['150', '340', '301', '387', '491', '473', '129', '93', '462', '261', '243', '450', '97', '494', '55', '18', '329', '304', '265', '389', '204', '396', '403', '73', '297']
['10', '28', '430', '486', '355', '144', '431', '437', '335', '361', '210', '166', '117', '333', '86', '173', '381', '14', '370', '390', '410', '51', '347', '470', '241']
['175', '419', '99', '17', '140', '484', '131', '456', '27', '77', '256', '198', '67', '271', '291', '31', '331', '293', '371', '391', '429', '171', '59', '158', '230']
['111', '3', '359', '426', '52', '283', '15', '374', '314', '23', '346', '156', '227', '306', '270', '225', '122', '408', '372', '181', '412', '112', '124', '493', '238']
['397', '354', '460', '159', '167', '300', '172', '282', '373', '79', '380', '319', '207', '108', '379', '313', '269', '201', '435', '490', '357', '146', '487', '192', '472']
['395', '421', '6', '453', '94', '338', '132', '154', '139', '400', '33', '483', '254', '274', '25', '326', '302', '138', '316', '366', '414', '434', '50', '60', '58']
['428', '242', '20', '21', '454', '191', '84', '208', '13', '195', '1', '123', '255', '406', '469', '497', '436', '281', '164', '476', '214', '349', '0', '475', '495']
['16', '109', '262', '407', '96', '101', '136', '232', '32', '126', '216', '200', '213', '445', '257', '427', '42', '284', '37', '9', '416', '384', '443', '465', '179']
['240', '169', '134', '273', '125', '375', '423', '115', '177', '197', '183', '351', '121', '89', '471', '317', '188', '110', '231', '328', '203', '303', '320', '239', '157']
['244', '148', '348', '392', '449', '118', '69', '315', '43', '466', '105', '226', '258', '278', '298', '174', '253', '358', '202', '488', '411', '438', '343', '489', '205']
['49', '337', '440', '193', '442', '251', '268', '228', '103', '199', '211', '420', '38', '279', '458', '369', '66', '464', '446', '399', '311', '455', '47', '128', '78']
