['38', 'H20', 'G41']
['D6', 'C6', 'F43']
['A10', 'B21', 'A42']
['D0', 'H16', 'B42']
['D11', 'H4', 'A11']
['F0', 'B40', 'E0']
['G0', 'F21', 'E42']
['H0', 'G21', 'E21']
['A1', 'F1', 'H44']
['E24', 'A22', 'F24']
['C1', 'B43', 'A43']
['D1', 'C22', 'E41']
['E1', 'E44', 'F45']
['E39', 'E22', 'H39']
['C49', 'F22', 'H3']
['D24', 'B8', 'B1']
['A0', 'H22', 'G43']
['B2', 'G35', 'H43']
['A23', 'B23', 'A44']
['D2', 'C23', 'E46']
['C45', 'D45', 'C44']
['F2', 'E23', 'A2']
['B22', 'F23', 'D22']
['H9', 'D49', 'F44']
['A4', 'B4', 'G44']
['B3', 'A24', 'G42']
['A28', 'B24', 'F19']
['D3', 'A54', 'B45']
['E3', 'F3', 'F39']
['D41', 'A20', 'B20']
['E9', 'H24', 'G9']
['C42', 'D42', 'C43']
['E47', 'G47', 'C0']
['E32', 'A45', 'H45']
['B25', 'B26', 'A46']
['D4', 'D46', 'B46']
['E4', 'F4', 'G4']
['B13', 'A25', 'C25']
['B18', 'A18', 'B44']
['F35', 'G25', 'E35']
['A5', 'H25', 'D5']
['B5', 'A26', 'H46']
['19', 'B47', 'A47']
['H36', 'C26', 'F15']
['0', 'D26', 'C47']
['C27', 'E26', 'D47']
['G5', 'F26', 'E5']
['H5', 'G26', 'F47']
['A6', 'H26', 'D17']
['B6', 'G3', 'G11']
['A17', 'B27', 'B17']
['C11', '46', 'C10']
['D48', 'D27', 'A27']
['F6', 'H47', 'E6']
['1', 'H28', 'E48']
['H6', 'E52', 'G52']
['E27', 'H27', 'F27']
['B7', 'C3', 'H48']
['C7', 'B28', 'A49']
['D7', 'E7', 'B49']
['B38', '14', 'A38']
['G28', 'E28', 'D28']
['G50', 'D50', 'E50']
['G23', 'F7', 'G29']
['A8', 'F8', 'G49']
['G22', 'B50', '58']
['C51', 'C50', 'A50']
['D8', 'C29', 'E8']
['A29', 'D29', 'B29']
['B30', 'E49', 'F28']
['G8', 'F29', 'E29']
['H8', 'C38', 'H7']
['A9', 'C18', 'G38']
['F30', 'A30', 'H50']
['F51', 'G48', 'A51']
['D9', 'C30', 'B51']
['C48', 'B19', 'F32']
['C9', '37', 'D51']
['D21', 'B9', 'H42']
['E20', 'G30', 'D20']
['H51', 'E51', 'G51']
['B10', 'E45', 'G45']
['B48', 'A3', 'A52']
['D10', 'C31', 'B52']
['E10', 'B34', 'D34']
['H31', 'E31', 'D52']
['F20', '12', 'G27']
['H10', 'G31', 'F52']
['A19', 'F10', 'F48']
['B11', 'B0', 'H52']
['A32', 'B32', 'A53']
['G24', 'C32', 'B53']
['E11', 'C52', 'C53']
['F11', 'H23', 'D53']
['A7', '59', 'G12']
['H11', 'G32', 'H33']
['A12', 'B12', 'C12']
['C33', 'A33', 'B33']
['G53', '33', 'B16']
['E19', '23', 'B54']
['E12', 'D33', 'H12']
['F12', 'C8', 'D54']
['E33', 'F33', 'C36']
['G37', 'H37', 'E37']
['A13', 'F9', 'G54']
['F41', 'A34', 'C34']
['H18', 'D31', 'B31']
['D13', 'H54', 'G6']
['E13', 'D32', '44']
['F13', 'E34', '3']
['G13', 'F34', '4']
['H13', 'G34', 'C35']
['11', 'H34', '6']
['9', 'A35', '7']
['C14', 'B35', 'C15']
['D14', 'A14', 'B14']
['E14', 'D35', '10']
['F14', 'F46', '5']
['G14', 'A31', 'F31']
['H14', '30', '13']
['A15', 'H35', 'D15']
['B15', 'A36', '15']
['8', '40', 'F18']
['F54', 'E54', '17']
['C46', 'B39', '18']
['C4', 'E36', 'C5']
['G15', 'F36', '20']
['H15', 'G36', '21']
['A16', 'G46', 'F16']
['C24', 'A37', 'H32']
['25', 'H19', '24']
['D16', 'C17', 'C16']
['F37', '53', '26']
['22', 'F50', '27']
['G16', 'E16', '28']
['C21', 'A21', '29']
['C54', 'G33', 'F49']
['H30', 'G1', '41']
['C37', 'C28', '32']
['A48', 'C2', 'G2']
['E17', 'D38', '34']
['F17', 'E38', 'F38']
['G17', '35', '36']
['D30', 'G7', 'E30']
['F25', 'H38', 'E15']
['E2', 'A39', '39']
['H29', 'D36', 'B36']
['D18', 'C39', '31']
['E18', 'D39', '42']
['16', 'H21', '43']
['G18', 'D44', '2']
['C13', 'G39', '45']
['E43', 'D43', 'F5']
['H17', 'A40', '47']
['C19', 'D19', '48']
['F42', 'C40', '49']
['D12', 'E25', '50']
['D40', 'E40', '51']
['G19', 'F40', '52']
['B37', 'G40', 'D37']
['H41', 'H40', '54']
['B41', 'A41', '55']
['C20', 'D23', '56']
['F53', 'C41', '57']
['H2', 'H1', 'H49']
['G10', 'H53', 'E53']
['G20', 'D25']
