['475', '23', '349', '224', '327', '133', '57', '90', '210', '221', '181', '372', '2', '419', '342', '463', '406', '24', '99', '341', '246', '351', '461']
['353', '321', '68', '47', '134', '430', '178', '187', '266', '310', '129', '437', '417', '343', '171', '401', '169', '83', '54', '438', '384', '396', '78']
['3', '362', '314', '440', '11', '174', '46', '336', '213', '289', '85', '402', '377', '45', '390', '218', '232', '249', '434', '294', '387', '383', '427']
['104', '26', '479', '108', '346', '388', '277', '458', '399', '202', '312', '422', '478', '61', '192', '122', '153', '296', '318', '251', '216', '113', '370']
['5', '27', '297', '157', '311', '301', '433', '466', '16', '60', '225', '231', '403', '140', '66', '128', '123', '10', '109', '65', '120', '288', '234']
['193', '252', '426', '415', '116', '325', '160', '204', '270', '161', '195', '423', '209', '247', '172', '159', '333', '222', '217', '80', '22', '242', '14']
['176', '12', '267', '95', '117', '139', '446', '205', '442', '371', '293', '173', '191', '241', '269', '162', '451', '469', '42', '380', '462', '167', '367']
['271', '436', '81', '304', '300', '298', '244', '154', '456', '431', '228', '460', '132', '302', '77', '214', '404', '447', '220', '464', '344', '285', '330']
['9', '219', '37', '75', '355', '131', '136', '408', '429', '183', '452', '345', '439', '354', '339', '471', '385', '34', '156', '358', '4', '29', '482']
['30', '1']
['254', '286', '28', '40', '143', '165', '135', '229', '198', '175', '407', '236', '86', '250', '435', '261', '309', '87', '268', '52', '324', '21', '457']
['152', '332', '347', '292', '100', '260', '481', '199', '223', '474', '276', '278', '441', '364', '337', '163', '366', '119', '449', '248', '483', '299', '239']
['455', '263', '101', '357', '72', '255', '211', '400', '201', '376', '166', '374', '274', '365', '235', '397', '111', '453', '262', '106', '445', '472', '18']
['253', '350', '124', '405', '168', '190', '368', '206', '38', '96', '420', '200', '51', '275', '410', '432', '375', '450', '237', '148', '443', '340', '317']
['15', '91', '55', '334', '103', '147', '182', '428', '291', '230', '389', '411', '194', '141', '306', '425', '8', '361', '44', '320', '35', '114', '127']
['283', '118', '69', '82', '97', '189', '84', '477', '473', '454', '197', '444', '110', '369', '409', '280', '107', '145', '243', '59', '413', '79', '381']
['186', '290', '313', '121', '485', '149', '150', '265', '322', '43', '331', '94', '303', '138', '258', '468', '196', '465', '373', '281', '49', '36', '50']
['142', '378', '62', '58', '177', '424', '382', '76', '238', '480', '282', '151', '326', '164', '356', '392', '319', '338', '421', '89', '207', '323', '144']
['19', '41', '279', '39', '13', '184', '328', '130', '467', '212', '158', '185', '105', '393', '215', '398', '233', '227', '391', '335', '245', '295', '7']
['20', '146', '63', '70', '359', '305', '71', '56', '88', '240', '6', '284', '53', '33', '125', '459', '394', '48', '414', '476', '92', '126', '93']
['386', '203', '137', '316', '259', '188', '448', '73', '102', '360', '307', '329', '64', '170', '67', '155', '287', '418', '25', '115', '74', '179', '112']
['395', '412', '273', '208', '272', '17', '379', '363', '470', '315', '264', '416', '308', '31', '352', '32', '257', '348', '98', '484', '226', '256', '180']
