['20', '72', '163', '74', '349', '373']
['285', '93', '282', '125', '284', '283']
['298', '222', '223', '370', '367', '226']
['111', '288', '293', '415', '291', '185']
['4', '247', '3', '296', '292', '364']
['408', '411', '88', '336', '147', '337']
['145', '368', '150', '105', '174', '366']
['361', '56', '151', '127', '295', '290']
['52', '114', '117', '224', '53', '216']
['121', '240', '371', '118', '106', '369']
['153', '82', '44', '187', '43', '218']
['11', '273', '413', '227', '261', '409']
['430', '84', '362', '87', '360', '393']
['128', '130', '131', '126', '301', '300']
['250', '419', '233', '230', '302', '414']
['157', '160', '159', '231', '303', '152']
['119', '375', '65', '64', '63', '376']
['304', '378', '379', '382', '305', '377']
['397', '396', '79', '27', '28', '24']
['254', '308', '236', '235', '307', '154']
['95', '92', '342', '57', '91', '21']
['380', '124', '6', '306', '309', '381']
['22', '23', '311', '386', '310', '18']
['94', '177', '238', '239', '90', '234']
['335', '258', '259', '330', '263', '333']
['245', '343', '244', '241', '242', '317']
['142', '129', '170', '316', '314', '315']
['392', '248', '171', '243', '30', '387']
['385', '328', '172', '168', '389', '255']
['179', '29', '173', '25', '69', '313']
['167', '34', '321', '166', '318', '202']
['31', '103', '246', '32', '219', '391']
['175', '116', '176', '412', '178', '148']
['33', '422', '421', '249', '424', '19']
['319', '323', '320', '383', '322', '400']
['253', '99', '104', '251', '257', '133']
['161', '158', '180', '431', '208', '156']
['37', '109', '17', '232', '112', '39']
['38', '384', '182', '204', '36', '388']
['372', '374', '35', '324', '327', '395']
['40', '183', '184', '267', '181', '15']
['41', '113', '110', '297', '229', '108']
['42', '198', '359', '47', '86', '355']
['404', '188', '402', '186', '405', '403']
['146', '144', '358', '260', '332', '149']
['398', '394', '76', '299', '363', '331']
['348', '351', '115', '262', '350', '406']
['14', '16', '12', '312', '45', '46']
['48', '120', '192', '194', '197', '96']
['49', '51', '417', '265', '54', '50']
['193', '268', '264', '266', '338', '410']
['200', '123', '195', '73', '196', '77']
['8', '141', '211', '201', '340', '107']
['220', '217', '221', '407', '341', '339']
['98', '237', '100', '270', '102', '97']
['325', '326', '122', '344', '329', '10']
['136', '13', '9', '272', '271', '134']
['78', '7', '199', '83', '345', '81']
['401', '85', '390', '418', '89', '399']
['59', '203', '334', '275', '347', '274']
['60', '61', '137', '62', '269', '55']
['132', '294', '58', '135', '75', '289']
['210', '205', '206', '209', '215', '155']
['346', '277', '207', '416', '278', '281']
['164', '162', '165', '280', '352', '279']
['228', '420', '225', '423', '353', '425']
['427', '101', '276', '429', '212', '426']
['80', '139', '140', '138', '365', '143']
['68', '357', '354', '286', '356', '428']
['0', '214', '213', '1', '5', '2']
['70', '26', '169', '67', '71', '66']
['190', '191', '256', '287', '189', '252']
