['94', '214', '336', '150', '331', '55', '413', '350', '401', '414']
['19', '100', '101', '151', '449', '63', '45', '378', '239', '107']
['330', '6', '31', '152', '182', '376', '302', '258', '196', '146']
['24', '452', '15', '153', '97', '264', '303', '289', '139', '453']
['4', '434', '194', '154', '220', '412', '373', '193', '371', '25']
['5', '203', '344', '88', '184', '380', '201', '144', '292', '463']
['479', '168', '106', '469', '315', '256', '404', '2', '104', '370']
['390', '188', '115', '68', '204', '447', '304', '465', '407', '67']
['416', '87', '169', '451', '176', '354', '482', '475', '408', '252']
['9', '406', '360', '14', '222', '259', '64', '283', '329', '230']
['127', '111', '166', '141', '319', '420', '161', '90', '424', '384']
['351', '61', '282', '41', '293', '261', '311', '175', '35', '461']
['464', '81', '450', '162', '76', '160', '280', '18', '481', '51']
['80', '379', '297', '33', '181', '263', '244', '363', '470', '364']
['133', '309', '114', '310', '478', '59', '314', '455', '399', '316']
['224', '65', '485', '165', '492', '308', '82', '121', '199', '34']
['448', '385', '438', '118', '313', '266', '130', '366', '462', '466']
['17', '441', '486', '93', '164', '210', '300', '367', '217', '269']
['484', '157', '352', '405', '218', '226', '318', '368', '472', '468']
['3', '355', '147', '327', '338', '0', '40', '369', '138', '54']
['78', '445', '257', '170', '44', '270', '142', '221', '126', '394']
['109', '71', '442', '328', '265', '167', '103', '178', '28', '349']
['112', '437', '387', '172', '209', '272', '202', '247', '422', '383']
['251', '197', '236', '173', '75', '248', '323', '439', '402', '473']
['1', '74', '124', '443', '471', '274', '456', '374', '381', '143']
['229', '187', '125', '495', '206', '494', '325', '95', '159', '8']
['57', '382', '398', '459', '490', '174', '340', '58', '372', '92']
['27', '148', '10', '105', '227', '277', '361', '96', '113', '477']
['489', '20', '128', '322', '250', '278', '458', '11', '428', '189']
['228', '79', '69', '213', '171', '21', '409', '358', '298', '91']
['30', '13', '397', '285', '225', '312', '491', '255', '108', '73']
['356', '62', '38', '140', '393', '281', '52', '410', '431', '446']
['32', '496', '132', '425', '232', '212', '332', '60', '321', '89']
['102', '83', '391', '183', '233', '418', '123', '497', '433', '499']
['306', '84', '320', '423', '234', '284', '347', '460', '119', '429']
['56', '436', '317', '66', '235', '417', '335', '190', '238', '158']
['426', '53', '136', '186', '474', '23', '149', '386', '208', '98']
['37', '70', '195', '131', '435', '287', '415', '262', '72', '487']
['430', '337', '419', '26', '480', '46', '219', '296', '365', '137']
['39', '301', '237', '50', '400', '22', '339', '389', '307', '271']
['377', '260', '254', '498', '240', '403', '326', '357', '440', '49']
['286', '242', '122', '191', '12', '291', '341', '467', '198', '215']
['359', '421', '180', '362', '275', '290', '342', '205', '276', '333']
['43', '29', '483', '324', '243', '211', '343', '231', '388', '493']
['346', '185', '129', '86', '411', '294', '177', '120', '444', '42']
['223', '375', '145', '488', '392', '295', '334', '395', '200', '288']
['353', '155', '135', '245', '156', '85', '454', '396', '457', '207']
['47', '432', '427', '179', '117', '116', '348', '246', '241', '163']
['99', '253', '77', '279', '273', '267', '345', '192', '16', '216']
['268', '48', '110', '7', '249', '299', '36', '134', '305', '476']
