['1', '141', '288', '73', '303', '43', '301']
['2', '52', '349', '225', '54', '313', '112']
['3', '144', '103', '321', '37', '176', '314']
['19', '174', '45', '34', '217', '21', '16']
['127', '259', '92', '98', '343', '117', '305']
['6', '265', '240', '149', '286', '263', '262']
['192', '120', '205', '194', '125', '123', '193']
['8', '304', '156', '158', '208', '157', '308']
['275', '59', '124', '119', '122', '55', '126']
['50', '58', '48', '60', '56', '328', '51']
['166', '65', '111', '161', '211', '261', '284']
['201', '62', '188', '162', '168', '197', '312']
['315', '266', '113', '322', '27', '151', '264']
['68', '64', '57', '67', '61', '252', '101']
['118', '233', '115', '165', '222', '35', '234']
['142', '66', '116', '287', '216', '109', '316']
['17', '20', '15', '22', '160', '247', '317']
['177', '191', '272', '258', '218', '196', '318']
['238', '69', '236', '38', '219', '213', '319']
['320', '212', '285', '12', '9', '270', '14']
['254', '255', '273', '171', '221', '152', '153']
['18', '72', '167', '164', '31', '78', '163']
['214', '256', '257', '5', '36', '269', '180']
['280', '347', '327', '279', '224', '274', '324']
['108', '75', '207', '210', '204', '159', '209']
['26', '231', '107', '136', '226', '276', '25']
['220', '230', '229', '235', '227', '277', '228']
['294', '84', '79', '326', '80', '295', '260']
['282', '325', '129', '179', '215', '121', '249']
['30', '28', '297', '296', '137', '195', '299']
['130', '81', '146', '181', '82', '281', '83']
['334', '323', '143', '336', '232', '331', '332']
['33', '29', '133', '183', '23', '283', '131']
['330', '186', '134', '184', '135', '185', '345']
['310', '128', '309', '311', '24', '340', '335']
['87', '86', '88', '91', '138', '289', '89']
['203', '206', '77', '187', '237', '200', '44']
['169', '170', '172', '329', '4', '173', '338']
['39', '182', '139', '350', '271', '76', '339']
['40', '41', '140', '190', '106', '290', '243']
['244', '71', '74', '7', '114', '291', '341']
['42', '13', '11', '10', '242', '292', '342']
['154', '93', '132', '32', '175', '293', '155']
['337', '94', '53', '70', '348', '202', '344']
['49', '95', '145', '239', '245', '97', '241']
['46', '96', '333', '278', '246', '178', '346']
['47', '268', '302', '306', '267', '253', '307']
['110', '147', '148', '198', '248', '63', '223']
['104', '99', '85', '105', '90', '100', '102']
['298', '251', '150', '199', '250', '300', '189']
