['479', '103', '329', '60', '80', '368', '64', '8', '101', '236', '200', '220', '59', '260', '362', '308', '493', '305', '345', '44', '158', '265', '440', '114', '84']
['22', '344', '347', '61', '81', '160', '244', '38', '286', '216', '201', '221', '192', '41', '281', '301', '174', '105', '361', '79', '401', '363', '441', '87', '481']
['413', '1', '45', '62', '247', '175', '373', '117', '386', '182', '202', '222', '242', '485', '433', '302', '322', '311', '155', '382', '162', '252', '164', '67', '310']
['370', '487', '100', '478', '83', '20', '123', '191', '163', '463', '203', '217', '228', '263', '283', '357', '77', '136', '274', '23', '394', '258', '25', '195', '71']
['451', '185', '461', '75', '120', '156', '414', '218', '330', '138', '486', '457', '214', '264', '276', '149', '342', '167', '436', '9', '346', '424', '70', '234', '484']
['5', '129', '42', '261', '53', '46', '429', '372', '48', '460', '205', '434', '268', '378', '55', '161', '392', '425', '365', '456', '397', '21', '31', '465', '91']
['128', '194', '351', '477', '215', '106', '137', '474', '360', '139', '206', '43', '444', '352', '340', '145', '321', '29', '366', '496', '403', '109', '494', '443', '82']
['246', '27', '379', '219', '315', '107', '280', '134', '333', '15', '207', '250', '239', '189', '287', '415', '327', '453', '367', '387', '419', '180', '447', '467', '169']
['140', '28', '420', '68', '88', '211', '448', '423', '168', '188', '208', '119', '248', '355', '17', '489', '371', '442', '257', '266', '408', '127', '6', '468', '165']
['384', '404', '49', '69', '210', '241', '417', '304', '63', '0', '209', '405', '249', '269', '146', '309', '307', '349', '108', '226', '409', '125', '229', '469', '275']
['398', '30', '50', '389', '90', '110', '130', '446', '132', '285', '133', '124', '230', '147', '290', '482', '11', '428', '473', '390', '181', '430', '450', '383', '99']
['24', '320', '472', '178', '223', '204', '297', '179', '171', '278', '47', '356', '104', '476', '459', '458', '225', '410', '131', '391', '196', '377', '267', '471', '491']
['12', '418', '334', '72', '92', '187', '422', '152', '172', '426', '262', '232', '231', '183', '292', '102', '112', '388', '306', '328', '432', '412', '452', '51', '2']
['271', '358', '85', '300', '233', '18', '96', '153', '277', '336', '213', '36', '253', '332', '293', '238', '240', '32', '122', '475', '492', '326', '65', '3', '445']
['251', '66', '54', '314', '86', '245', '270', '154', '350', '348', '4', '151', '462', '421', '466', '303', '58', '74', '395', '396', '299', '150', '454', '224', '483']
['176', '488', '142', '288', '95', '113', '135', '78', '56', '39', '318', '235', '255', '449', '197', '19', '335', '341', '375', '374', '7', '435', '455', '411', '400']
['16', '73', '312', '76', '431', '279', '407', '282', '199', '393', '385', '427', '256', '115', '296', '316', '193', '380', '40', '93', '294', '364', '177', '13', '498']
['369', '338', '295', '323', '313', '331', '359', '157', '325', '57', '324', '237', '166', '173', '291', '317', '337', '354', '190', '438', '376', '437', '289', '284', '89']
['34', '184', '14', '343', '98', '118', '141', '495', '497', '198', '144', '97', '35', '143', '298', '94', '37', '33', '116', '10', '353', '272', '470', '170', '381']
['402', '243', '227', '148', '490', '406', '26', '159', '464', '186', '416', '121', '259', '52', '212', '319', '339', '126', '273', '399', '254', '439', '480', '111']
