['106', '20', '40', '361', '209', '390', '120', '261', '352', '380', '116', '151', '385', '64', '114', '143', '101', '56', '360', '155']
['212', '214', '115', '144', '161', '364', '384', '11', '219', '126', '201', '257', '313', '223', '391', '301', '91', '184', '95', '94']
['2', '22', '42', '158', '24', '398', '122', '142', '67', '23', '121', '222', '271', '96', '80', '285', '266', '137', '362', '189']
['26', '45', '35', '200', '83', '378', '240', '286', '163', '357', '36', '124', '323', '293', '283', '72', '243', '182', '363', '383']
['336', '276', '369', '112', '289', '267', '350', '160', '348', '355', '333', '3', '244', '264', '253', '168', '370', '344', '248', '260']
['54', '166', '343', '21', '202', '52', '44', '145', '98', '185', '205', '57', '129', '128', '312', '351', '55', '345', '132', '123']
['6', '237', '239', '179', '258', '227', '231', '388', '221', '225', '233', '358', '246', '238', '236', '5', '157', '19', '220', '386']
['367', '295', '186', '250', '176', '371', '338', '327', '218', '187', '282', '265', '65', '104', '287', '117', '136', '70', '325', '399']
['211', '162', '48', '82', '88', '37', '281', '354', '43', '241', '245', '332', '171', '297', '288', '308', '328', '27', '307', '359']
['334', '79', '49', '69', '89', '92', '291', '76', '389', '319', '77', '229', '140', '296', '224', '299', '63', '349', '74', '153']
['279', '249', '141', '347', '247', '215', '134', '164', '170', '263', '207', '256', '125', '7', '138', '275', '213', '204', '324', '86']
['342', '318', '216', '118', '217', '111', '119', '310', '84', '191', '85', '340', '105', '87', '30', '311', '25', '59', '50', '199']
['12', '278', '110', '8', '150', '17', '93', '152', '32', '4', '1', '232', '341', '172', '292', '302', '228', '365', '203', '392']
['259', '33', '53', '210', '29', '177', '387', '254', '314', '252', '58', '107', '284', '273', '0', '331', '47', '255', '373', '272']
['14', '34', '376', '372', '71', '280', '146', '154', '149', '368', '206', '234', '290', '109', '190', '298', '181', '148', '374', '235']
['130', '100', '127', '39', '183', '41', '51', '321', '60', '195', '188', '394', '353', '147', '180', '31', '103', '73', '305', '226']
['270', '397', '198', '268', '169', '277', '165', '156', '9', '196', '193', '262', '10', '175', '269', '28', '13', '15', '167', '356']
['68', '108', '346', '393', '97', '274', '16', '326', '329', '197', '322', '102', '81', '294', '61', '317', '337', '90', '320', '18']
['46', '38', '309', '174', '315', '381', '192', '316', '178', '335', '242', '330', '300', '339', '173', '303', '304', '395', '306', '251']
['366', '75', '135', '113', '99', '131', '139', '159', '66', '62', '375', '78', '377', '230', '379', '382', '194', '208', '396', '133']
