['A0', 'H20', 'G41']
['B0', 'A21', 'H35']
['C0', 'E43', 'A42']
['D0', 'C21', 'H27']
['D31', 'D21', 'E0']
['C23', 'G14', 'D42']
['G0', 'F21', 'E42']
['H0', 'G21', 'F42']
['A1', 'H21', 'G42']
['E8', 'H49', 'B36']
['E37', 'B22', 'B15']
['D1', 'C22', 'B43']
['E1', 'H41', 'C43']
['C49', '4', 'C41']
['D38', 'E6', 'B21']
['H1', 'G22', 'E34']
['A2', 'C15', 'E16']
['B2', 'D24', 'H43']
['C2', 'B23', 'A44']
['D2', 'F23', 'B44']
['E2', 'D23', 'C44']
['A23', 'E23', 'D44']
['F50', 'F0', 'C40']
['H2', 'G23', 'H11']
['E44', 'H23', 'G44']
['B3', 'F18', 'H44']
['C45', 'B24', 'A45']
['G18', 'H45', 'B45']
['E3', 'F2', 'D3']
['H15', 'B16', 'F26']
['G51', 'F24', 'E45']
['D7', 'G24', 'B42']
['A4', 'H24', 'G45']
['A41', 'A25', 'F22']
['C4', 'B25', 'A46']
['D4', 'C25', 'B46']
['E4', 'D25', 'C46']
['F4', 'E25', 'D36']
['G4', 'D54', 'D50']
['H4', '31', 'F46']
['D37', 'B53', 'G46']
['A35', '27', '54']
['B26', 'A34', 'C34']
['D5', 'C26', 'E38']
['A47', 'B27', '57']
['F5', 'F49', 'D20']
['28', 'D45', 'E47']
['H5', 'D11', 'B33']
['A6', 'B31', 'G47']
['E46', 'A27', 'H47']
['C6', 'D26', 'A48']
['D6', 'C27', 'H28']
['D19', 'A31', 'A30']
['C29', 'E27', 'D48']
['G6', 'F27', 'E48']
['H6', 'E30', 'E14']
['A7', 'F45', 'F3']
['B7', 'A28', 'G1']
['C7', 'B28', 'A49']
['H3', 'C28', 'B49']
['E7', 'D28', 'F54']
['C1', 'E28', 'D49']
['G7', 'F28', 'E49']
['C30', 'G28', 'E26']
['A8', 'F8', 'G49']
['B8', 'A29', 'B29']
['B13', 'A22', 'A50']
['C53', 'F6', 'D35']
['G3', 'D29', 'C50']
['C24', 'F33', 'H17']
['G8', 'F29', 'E50']
['H8', 'C33', 'G2']
['F7', 'H29', 'G50']
['B9', 'F35', 'H50']
['13', 'B30', 'A51']
['D9', 'A9', 'B51']
['E9', '40', 'C51']
['F9', 'F19', 'D51']
['G9', 'F30', 'E51']
['H9', 'G30', '42']
['A10', 'H30', 'G20']
['F47', 'D27', 'H51']
['C10', 'H26', 'E53']
['D10', 'C31', '33']
['E10', 'H10', 'C52']
['F10', 'E31', 'D52']
['G10', 'D43', 'E52']
['G13', 'G31', 'E13']
['A11', 'H31', 'G52']
['B11', 'A32', '59']
['C11', 'B32', 'A53']
['G26', 'C32', 'D53']
['E11', 'E29', 'D8']
['F11', 'E32', 'H25']
['G11', 'F32', 'A52']
['F44', 'H54', 'F53']
['A12', 'H32', 'G53']
['B12', '38', 'H53']
['C12', 'B10', 'A54']
['D12', 'G29', 'B54']
['C48', 'D33', 'C54']
['F12', '25', 'E12']
['G12', 'D32', 'E54']
['H12', 'G33', '58']
['A13', 'H33', 'G54']
['C8', 'C9', 'B19']
['C13', 'B34', '0']
['D13', 'E5', 'G5']
['B52', 'D34', '29']
['C19', 'F43', '3']
['H22', 'G17', 'E22']
['H13', 'G34', '5']
['A14', 'H34', '6']
['B14', 'B5', '7']
['C14', 'B35', 'A3']
['D14', 'C35', '9']
['F48', 'B50', '10']
['F14', 'E35', '11']
['D15', 'F25', '12']
['H14', 'G35', 'H37']
['A15', 'D22', '14']
['A43', 'A36', '15']
['H36', 'H42', '16']
['47', 'C36', '17']
['D40', 'D46', '18']
['A19', 'E36', '19']
['G15', 'F36', '20']
['G48', 'G36', '21']
['A16', 'C5', '22']
['34', 'F52', '23']
['C16', 'B37', 'E18']
['D16', 'C37', 'E33']
['G43', 'A5', '26']
['F16', 'H7', 'A26']
['G38', 'F37', '1']
['H16', 'G37', 'F20']
['A17', 'C42', '30']
['B17', 'A38', '43']
['C17', 'B38', '32']
['D17', 'C38', 'A37']
['E17', 'H48', 'E24']
['F17', 'B47', '35']
['F34', 'F38', '36']
['B6', 'G16', '37']
['A18', 'H38', 'A33']
['C3', 'A39', '39']
['C18', 'B39', 'D30']
['D18', 'C39', '41']
['24', 'D39', 'B48']
['A24', 'E39', 'G25']
['B18', 'F39', '44']
['H18', 'G39', '45']
['F51', 'H39', '46']
['G32', 'A40', 'F40']
['F13', 'B40', '48']
['F15', '8', '49']
['E19', 'E15', '50']
['G27', 'E40', '51']
['G19', 'E21', '52']
['H19', 'G40', '53']
['A20', 'H40', 'H46']
['B20', 'B4', '55']
['C20', 'F1', '56']
['D47', 'F31', 'C47']
['E20', 'D41', 'B41']
['2', 'E41', 'H52']
['B1', 'F41']
