['a34', 'a229', 'a37', 'a66', 'a35', 'a39', 'a228', 'a33', 'a60', 'a101']
['a236', 'a193', 'a232', 'a197', 'a69', 'a61', 'a56', 'a233', 'a198', 'a68']
['a119', 'a114', 'a182', 'a196', 'a162', 'a189', 'a135', 'a185', 'a67', 'a115']
['a7', 'a6', 'a16', 'a217', 'a1', 'a204', 'a13', 'a9', 'a113', 'a237']
['a117', 'a112', 'a23', 'a22', 'a27', 'a205', 'a201', 'a20', 'a74', 'a24']
['a154', 'a110', 'a180', 'a106', 'a3', 'a142', 'a156', 'a105', 'a179', 'a107']
['a40', 'a163', 'a42', 'a49', 'a87', 'a43', 'a93', 'a188', 'a95', 'a41']
['a212', 'a21', 'a55', 'a125', 'a46', 'a159', 'a79', 'a129', 'a128', 'a111']
['a174', 'a206', 'a167', 'a91', 'a158', 'a97', 'a165', 'a164', 'a172', 'a160']
['a241', 'a45', 'a137', 'a54', 'a108', 'a36', 'a50', 'a32', 'a57', 'a246']
['a11', 'a207', 'a15', 'a86', 'a140', 'a239', 'a10', 'a14', 'a230', 'a98']
['a5', 'a181', 'a183', 'a186', 'a218', 'a210', 'a216', 'a215', 'a8', 'a211']
['a134', 'a31', 'a130', 'a138', 'a200', 'a225', 'a187', 'a226', 'a224', 'a221']
['a100', 'a28', 'a77', 'a109', 'a83', 'a85', 'a84', 'a80', 'a234', 'a231']
['a136', 'a99', 'a102', 'a123', 'a92', 'a177', 'a103', 'a166', 'a96', 'a104']
['a94', 'a29', 'a139', 'a133', 'a202', 'a203', 'a26', 'a132', 'a131', 'a25']
['a199', 'a121', 'a53', 'a76', 'a70', 'a144', 'a176', 'a208', 'a195', 'a175']
['a157', 'a209', 'a150', 'a151', 'a171', 'a184', 'a152', 'a155', 'a173', 'a170']
['a2', 'a78', 'a58', 'a71', 'a191', 'a222', 'a220', 'a227', 'a72', 'a4']
['a223', 'a89', 'a248', 'a249', 'a82', 'a242', 'a146', 'a153', 'a240', 'a141']
['a192', 'a30', 'a63', 'a62', 'a38', 'a81', 'a90', 'a88', 'a194', 'a190']
['a12', 'a17', 'a247', 'a219', 'a213', 'a19', 'a64', 'a214', 'a243', 'a65']
['a143', 'a48', 'a75', 'a44', 'a148', 'a149', 'a147', 'a73', 'a145', 'a47']
['a18', 'a51', 'a118', 'a168', 'a238', 'a52', 'a235', 'a59', 'a161', 'a116']
['a122', 'a127', 'a178', 'a120', 'a126', 'a244', 'a124', 'a169', 'a0', 'a245']
