['64', '99', '146', '474', '379', '460', '264', '179']
['52', '19', '448', '85', '380', '87', '450', '382']
['323', '330', '327', '324', '244', '326', '431', '497']
['163', '130', '337', '458', '95', '491', '423', '297']
['131', '320', '127', '197', '195', '267', '234', '316']
['288', '286', '156', '152', '385', '155', '55', '88']
['117', '325', '120', '215', '322', '415', '121', '211']
['467', '492', '470', '172', '240', '259', '424', '76']
['333', '332', '97', '336', '132', '198', '299', '202']
['86', '251', '14', '484', '481', '16', '18', '413']
['457', '123', '90', '386', '389', '453', '158', '125']
['376', '75', '275', '469', '341', '176', '145', '141']
['312', '452', '456', '308', '161', '355', '454', '304']
['490', '28', '129', '94', '98', '455', '96', '356']
['406', '204', '103', '2', '239', '4', '6', '305']
['147', '391', '236', '25', '151']
['17', '319', '39', '363', '284', '20', '41', '35']
['364', '359', '366', '369', '334', '331', '1', '296']
['65', '72', '426', '459', '169', '171', '68', '136']
['43', '377', '400', '144', '398', '402', '478', '278']
['422', '21', '384', '387', '23', '314', '349', '27']
['134', '274', '495', '200', '31', '271', '499', '301']
['397', '73', '106', '82', '401', '483', '434', '71']
['44', '38', '335', '11', '7', '339', '42', '46']
['280', '281', '214', '277', '80', '217', '116', '77']
['219', '357', '256', '343', '254', '252', '419', '285']
['500', '410', '137', '347', '3', '342', '177', '344']
['154', '488', '253', '220', '255', '193', '354', '321']
['216', '92', '416', '218', '221', '213', '420', '150']
['93', '260', '58', '485', '318', '353', '388', '186']
['174', '203', '436', '40', '108', '178', '143', '242']
['153', '290', '50', '118', '54', '53', '56', '149']
['159', '164', '162', '91', '258', '157', '167', '291']
['428', '168', '223', '69', '170', '36', '173', '32']
['279', '348', '350', '476', '282', '115', '181', '79']
['192', '493', '293', '225', '328', '392', '425', '227']
['390', '395', '289', '102', '292', '360', '294', '393']
['212', '78', '311', '74', '445', '210', '111', '142']
['165', '113', '346', '480', '381', '396', '313', '247']
['361', '66', '229', '194', '394', '429', '196', '427']
['104', '230', '226', '482', '432', '315', '317', '399']
['365', '231', '464', '37', '70', '486', '466', '59']
['34', '100', '298', '232', '295', '62', '262', '489']
['237', '233', '101', '33', '404', '303', '235', '268']
['45', '439', '442', '437', '10', '441', '47', '12']
['60', '109', '175', '421', '287', '243', '418', '487']
['498', '362', '228', '263', '329', '29', '261', '30']
['48', '409', '83', '475', '81', '477', '15', '248']
['49', '112', '180', '184', '84', '345', '183', '479']
['472', '107', '338', '307', '105', '270', '272', '340']
['51', '114', '405', '447', '110', '412', '13', '246']
['8', '266', '241', '367', '430', '433', '140', '435']
['300', '468', '368', '403', '465', '471', '139', '5']
['462', '383', '444', '451', '449', '414', '446']
['135', '463', '269', '461', '494', '496', '273', '201']
['119', '133', '245', '265', '249', '352', '148', '199']
['375', '9', '224', '208', '309', '358', '443', '276']
['302', '306', '407', '310', '370', '238', '374', '411']
['182', '185', '188', '191', '187', '283', '190', '222']
['206', '373', '371', '67', '166', '63', '138', '408']
['89', '124', '250', '417', '351', '126', '122', '128']
['372', '438', '207', '473', '440', '160', '209', '205']
['61', '189', '26', '378', '257', '57', '22', '24']
