['371', '244', '384', '386', '288', '360']
['1', '125', '399', '362', '141', '405']
['148', '28', '146', '218', '25', '206']
['197', '302', '147', '142', '291', '194']
['4', '76', '2', '367', '0', '364']
['5', '216', '149', '221', '293', '292']
['91', '101', '150', '222', '294', '366']
['153', '427', '151', '223', '152', '220']
['242', '80', '295', '188', '356', '247']
['359', '277', '296', '225', '297', '59']
['10', '227', '328', '226', '259', '87']
['11', '83', '155', '82', '358', '131']
['12', '84', '156', '20', '107', '372']
['89', '85', '306', '412', '55', '86']
['290', '373', '378', '230', '404', '179']
['37', '42', '314', '62', '47', '375']
['16', '205', '376', '385', '269', '390']
['17', '15', '161', '233', '102', '377']
['210', '171', '160', '234', '157', '158']
['110', '389', '127', '235', '258', '394']
['340', '182', '56', '236', '154', '38']
['21', '323', '165', '237', '309', '350']
['41', '94', '95', '238', '103', '289']
['143', '166', '167', '239', '311', '307']
['24', '30', '27', '240', '416', '144']
['281', '97', '133', '278', '313', '414']
['26', '98', '257', '72', '96', '77']
['319', '321', '370', '422', '104', '339']
['66', '52', '379', '325', '316', '70']
['29', '231', '173', '232', '48', '6']
['129', '391', '164', '214', '219', '162']
['31', '176', '175', '120', '250', '195']
['32', '265', '263', '248', '320', '283']
['33', '105', '264', '249', '315', '68']
['34', '130', '40', '124', '322', '35']
['400', '300', '374', '251', '93', '401']
['36', '382', '351', '349', '324', '352']
['128', '109', '181', '112', '108', '413']
['170', '337', '92', '168', '326', '172']
['79', '111', '183', '329', '327', '395']
['178', '253', '184', '256', '255', '396']
['137', '113', '185', '243', '180', '397']
['90', '393', '186', '9', '365', '398']
['43', '115', '312', '407', '331', '403']
['106', '116', '224', '299', '71', '114']
['45', '117', '317', '261', '208', '200']
['46', '118', '252', '262', '334', '406']
['187', '119', '191', '310', '335', '8']
['254', '246', '357', '177', '336', '345']
['410', '189', '193', '99', '196', '409']
['145', '122', '272', '266', '159', '44']
['51', '14', '392', '408', '387', '411']
['430', '308', '19', '419', '228', '229']
['303', '73', '74', '304', '274', '75']
['54', '126', '3', '270', '163', '415']
['301', '388', '343', '241', '199', '245']
['363', '13', '361', '217', '344', '50']
['57', '271', '201', '273', '267', '268']
['338', '354', '202', '341', '346', '417']
['369', '49', '203', '275', '347', '418']
['60', '132', '204', '425', '209', '420']
['61', '53', '65', '58', '190', '421']
['332', '134', '88', '207', '381', '380']
['63', '135', '276', '279', '280', '121']
['64', '136', '333', '423', '402', '424']
['174', '22', '348', '18', '353', '342']
['198', '138', '140', '282', '23', '286']
['67', '139', '78', '305', '355', '39']
['81', '123', '212', '284', '7', '428']
['69', '298', '213', '285', '192', '318']
['330', '429', '368', '426', '260', '100']
['211', '169', '215', '287', '383', '431']
