['283', '138', '482', '280', '319']
['358', '51', '306', '112', '186']
['164', '228', '159', '266', '113']
['62', '356', '372', '305', '433']
['235', '53', '141', '371', '74']
['491', '343', '333', '89', '411']
['178', '81', '405', '131', '380']
['48', '282', '458', '66', '415']
['199', '40', '78', '459', '316']
['225', '315', '224', '344', '218']
['240', '92', '432', '477', '486']
['442', '175', '96', '399', '498']
['331', '241', '363', '208', '253']
['437', '94', '377', '204', '359']
['83', '39', '309', '6', '173']
['127', '412', '494', '462', '147']
['216', '1', '100', '117', '485']
['327', '456', '345', '105', '495']
['63', '109', '229', '85', '245']
['438', '295', '414', '50', '17']
['234', '387', '396', '139', '188']
['313', '332', '453', '57', '197']
['350', '488', '31', '200', '496']
['464', '335', '424', '11', '312']
['108', '318', '249', '355', '61']
['145', '273', '126', '169', '177']
['209', '428', '128', '262', '336']
['150', '38', '492', '292', '69']
['290', '185', '26', '24', '10']
['42', '423', '67', '289', '180']
['455', '480', '259', '55', '450']
['148', '79', '124', '223', '97']
['12', '46', '213', '8', '215']
['198', '29', '190', '357', '402']
['365', '107', '65', '451', '326']
['182', '475', '389', '270', '463']
['232', '111', '174', '337', '483']
['348', '7', '247', '73', '373']
['183', '400', '156', '68', '268']
['487', '286', '325', '226', '408']
['260', '471', '416', '219', '293']
['413', '168', '398', '448', '90']
['324', '120', '21', '248', '436']
['165', '255', '366', '23', '82']
['461', '429', '484', '499', '151']
['166', '236', '369', '160', '393']
['33', '311', '18', '252', '136']
['243', '431', '391', '263', '352']
['304', '115', '351', '22', '478']
['104', '41', '454', '172', '467']
['122', '435', '441', '418', '465']
['334', '346', '233', '162', '265']
['202', '469', '425', '153', '407']
['212', '59', '385', '15', '466']
['474', '403', '320', '445', '32']
['222', '76', '257', '140', '302']
['49', '489', '476', '354', '317']
['154', '191', '427', '360', '349']
['347', '395', '497', '308', '192']
['386', '254', '158', '20', '133']
['144', '155', '152', '397', '171']
['103', '493', '285', '434', '93']
['341', '284', '194', '291', '370']
['421', '394', '143', '123', '130']
['211', '303', '170', '301', '410']
['95', '80', '13', '468', '307']
['261', '45', '44', '217', '375']
['367', '272', '287', '297', '422']
['364', '298', '58', '77', '189']
['299', '179', '176', '142', '110']
['163', '406', '479', '419', '5']
['135', '102', '378', '207', '242']
['264', '25', '4', '0', '384']
['251', '118', '137', '121', '3']
['220', '452', '404', '443', '383']
['43', '27', '258', '129', '444']
['439', '323', '16', '447', '420']
['9', '86', '368', '250', '246']
['116', '206', '390', '314', '99']
['84', '56', '30', '60', '146']
['28', '382', '134', '70', '276']
['279', '481', '230', '449', '379']
['288', '328', '281', '321', '2']
['330', '353', '470', '201', '101']
['187', '362', '72', '269', '193']
['106', '271', '167', '329', '294']
['277', '237', '238', '54', '392']
['361', '426', '181', '401', '210']
['214', '231', '473', '52', '195']
['310', '184', '157', '64', '37']
['132', '35', '203', '376', '342']
['244', '340', '196', '440', '98']
['14', '47', '161', '149', '87']
['227', '267', '36', '71', '88']
['409', '19', '388', '381', '91']
['490', '119', '430', '446', '322']
['75', '114', '300', '205', '339']
['274', '374', '125', '275', '472']
['417', '296', '457', '338', '256']
['460', '278', '34', '239', '221']
