['g9', 'c1', 'v2', 'p4', 't6', 'h9', 'm5', 'u2', 's3', 'g3']
['f6', 'v10', 'f4', 'n9', 'n2', 'w4', 'f5', 'v3', 'w9', 'f10']
['y8', 'm3', 'g6', 'b3', 'k2', 'm9', 'y7', 'o1', 's1', 'n10']
['a3', 'b1', 'a8', 'h10', 'e6', 'q4', 'c2', 'w10', 'u4', 'a1']
['b9', 'g5', 'p7', 'i7', 'e1', 'p2', 'a7', 'b10', 'n1', 'e2']
['o6', 's9', 'w7', 'o9', 'y1', 'w1', 'l6', 'k3', 's5', 'u8']
['y4', 'q8', 'l1', 'q10', 'q7', 'i9', 'm2', 'c8', 's4', 'k4']
['h1', 'y2', 'm6', 'h4', 'k7', 'l9', 'n6', 'b6', 'x5', 'm8']
['q9', 'c4', 'h2', 't3', 'p9', 's2', 'x10', 'p5', 'e3', 'j2']
['p10', 'q2', 'k5', 'u7', 'd3', 'b4', 'j9', 'n5', 'f3', 'g10']
['d10', 't2', 'l5', 'w8', 'r6', 'a5', 'i3', 'r7', 'v1', 'v7']
['g1', 'e9', 'u6', 'a6', 'j6', 'y6', 'b5', 's6', 'j8', 'd9']
['a10', 'b8', 'g4', 't10', 'm1', 'v9', 'c9', 'k9', 'c6', 'r8']
['r10', 'o5', 'y9', 't5', 'o4', 'c10', 'i1', 'k1', 'u5', 'i10']
['o3', 't9', 'i5', 'o10', 'h7', 'k10', 's8', 'l8', 't8', 'n8']
['x7', 'q5', 't1', 's10', 'w6', 'u9', 'e7', 'y5', 'q1', 'g7']
['r4', 'w5', 'r1', 'u1', 'r9', 'c3', 'o2', 'l7', 'k8', 'c7']
['a9', 'j5', 'o7', 'p8', 'q6', 'n3', 'x1', 'f7', 'a2', 'd6']
['k6', 'h8', 'v8', 'i4', 'h6', 't4', 'j7', 'h3', 'i8', 'l4']
['d5', 't7', 'i6', 'o8', 's7', 'x9', 'v5', 'r5', 'e8', 'e5']
['d8', 'r2', 'c5', 'n7', 'x8', 'h5', 'l3', 'p6', 'y3', 'l10']
['d4', 'x4', 'b7', 'd7', 'y10', 'f1', 'd1', 'p3', 'm7', 'm4']
['e10', 'g2', 'x6', 'j1', 'a4', 'i2', 'x2', 'j10', 'd2', 'g8']
['v4', 'q3', 'n4', 'x3', 'm10', 'w2', 'r3', 'v6', 'f2', 'u10']
['b2', 'j3', 'w3', 'l2', 'u3', 'f9', 'p1', 'f8', 'e4', 'j4']
