['235', '146', '244', '136', '201', '338', '348']
['194', '281', '166', '303', '192', '252', '347']
['284', '53', '103', '153', '203', '253', '152']
['4', '140', '149', '25', '162', '254', '304']
['234', '169', '174', '208', '232', '173', '19']
['161', '44', '226', '156', '266', '319', '75']
['128', '102', '107', '48', '32', '137', '207']
['29', '120', '23', '158', '155', '139', '121']
['157', '225', '219', '159', '307', '308', '22']
['251', '30', '41', '291', '210', '312', '310']
['204', '278', '111', '179', '320', '205', '31']
['12', '10', '264', '11', '212', '262', '260']
['13', '63', '113', '33', '213', '236', '249']
['233', '305', '114', '3', '214', '112', '78']
['70', '65', '2', '309', '215', '265', '315']
['314', '337', '37', '57', '216', '206', '316']
['277', '67', '117', '69', '79', '6', '317']
['246', '68', '89', '168', '332', '164', '318']
['51', '131', '119', '255', '124', '269', '271']
['20', '257', '256', '290', '39', '270', '302']
['74', '346', '148', '288', '9', '218', '321']
['329', '72', '122', '172', '5', '97', '220']
['126', '336', '123', '231', '138', '273', '334']
['24', '21', '109', '15', '328', '258', '16']
['154', '127', '263', '175', '163', '42', '325']
['106', '76', '224', '176', '133', '77', '1']
['279', '276', '229', '165', '274', '280', '230']
['237', '324', '7', '238', '298', '297', '300']
['8', '286', '129', '108', '306', '27', '282']
['60', '80', '221', '180', '190', '187', '330']
['55', '101', '333', '99', '96', '52', '331']
['341', '50', '132', '45', '188', '54', '259']
['62', '61', '339', '183', '14', '200', '167']
['34', '84', '134', '43', '222', '171', '209']
['283', '85', '135', '185', '87', '268', '58']
['35', '46', '245', '144', '181', '217', '73']
['311', '326', '105', '17', '28', '287', '66']
['38', '88', '223', '91', '313', '285', '177']
['322', '118', '242', '240', '239', '289', '125']
['56', '90', '86', '327', '189', '335', '340']
['193', '349', '141', '191', '248', '160', '344']
['275', '343', '104', '301', '110', '294', '342']
['184', '40', '143', '95', '267', '293', '92']
['93', '94', '272', '115', '81', '292', '116']
['182', '261', '145', '243', '178', '295', '345']
['59', '227', '26', '151', '18', '296', '228']
['47', '186', '147', '82', '247', '83', '211']
['323', '98', '170', '350', '241', '71', '202']
['49', '130', '142', '199', '196', '299', '195']
['36', '100', '150', '197', '250', '64', '198']
