['VIPLF', 'HTJHJ', 'TNZEA', 'RQZPM', 'OVYDG']
['EHMWV', 'ORRXP', 'CIPCP', 'VWJWK', 'KCHSD']
['NSTKH', 'BJTHH', 'NUSHB', 'MXMMA', 'ENWEP']
['HATBR', 'UJESQ', 'IZZTZ', 'SROSJ', 'AILUZ']
['OXRUQ', 'SEYUH', 'UZKCN', 'VTOZN', 'IZMEQ']
['XBTFE', 'PXCKJ', 'ACMPF', 'FZRBE', 'AWDBE']
['VPSEI', 'FSTKF', 'XXRUC', 'CCNPM', 'FZQXE']
['ZBJTS', 'KXUES', 'YJPCO', 'XXFSV', 'WTGUO']
['TFWCC', 'KUMCW', 'ONQWA', 'QNUDR', 'EAEIR']
['FELNZ', 'AGDTK', 'LBKGE', 'IAADS', 'PQAHJ']
['TEFPC', 'JWSRE', 'QQXNO', 'SPHAJ', 'CVNCZ']
['UCLPW', 'DLKKW', 'XNYRJ', 'WPGRW', 'EWNSH']
['NHQWU', 'APXMD', 'RUYNY', 'LPHWP', 'XBLXM']
['BLHOQ', 'ZEPYJ', 'XAOMD', 'GICKM', 'EFKRH']
['WJIWZ', 'ZRVWH', 'RJIED', 'EBLCO', 'JMYIA']
['QUECI', 'CQBIT', 'IGQNP', 'OZZTI', 'VATKD']
['CKFJL', 'CIILB', 'FGDHQ', 'QYWKX', 'MIKDS']
['VLEXY', 'INTFC', 'LIQGP', 'OJGET', 'DSQUZ']
['HGJEC', 'EADHZ', 'KENPF', 'RUGKU', 'DVLFX']
['OMYLR', 'WAQDW', 'CIUZU', 'QSVBC', 'ERQBP']
['CKHRK', 'TAIVA', 'HKVZW', 'BPLLS', 'FZBVB']
['RCZHM', 'LYGHF', 'JTHWI', 'OAGEZ', 'YXPNV']
['OVYUV', 'QQUYY', 'ZHVLK', 'EYFRR', 'OLFRP']
['TVCFA', 'GAEKQ', 'GOXXP', 'KSCIB', 'UBCVC']
['VSPLU', 'RURLC', 'VGCRP', 'ALXRH', 'AXQPJ']
['UHSWZ', 'OCOQX', 'SIGOM', 'BPZOY', 'WWYEF']
['QVNNO', 'MXBHP', 'HWSJL', 'KGIPC', 'PSVNQ']
['ZCVZT', 'XWMKT', 'SZXFW', 'NDLFM', 'WCFRY']
['DSUJE', 'WGGGP', 'OXRDD', 'PLFWC', 'SJJMM']
['XIDUV', 'MEKWP', 'HSIWG', 'DFBMK', 'YFRIJ']
['WHRVK', 'OKQTW', 'ZIJNW', 'PKHDM', 'NWAHL']
['SMSHQ', 'FDGQA', 'QCHPG', 'TKJBK', 'AWUBI']
['SKBJW', 'QIALM', 'XBSXA', 'YQPNL', 'IVZGD']
['QGRPC', 'ZJPJO', 'ZNMAJ', 'YWCZV', 'IGAXC']
['GEQFC', 'NLRBO', 'DFVZW', 'FVYLB', 'CLLNQ']
['CPTCX', 'QPVND', 'DBIOJ', 'WSVIR', 'IXMQO']
['NCDJQ', 'GLIPE', 'FJPVZ', 'ECNTU', 'ZJQQO']
['PVVAV', 'FEUEQ', 'MESKQ', 'NSAJQ', 'SYIZZ']
['KQUJH', 'PABIC', 'SAVNS', 'XFNKQ', 'NKCOJ']
['TAHXC', 'RFWKF', 'VFFHE', 'RMJIF', 'TUSMK']
['BBKUO', 'TBPZM', 'UHYVL', 'YNIQG', 'OQSOU']
