['197', '51', '429', '151', '354', '126', '301', '5', '284', '166']
['2', '285', '263', '377', '202', '252', '302', '267', '172', '455']
['3', '306', '445', '122', '245', '155', '409', '165', '398', '401']
['292', '448', '135', '157', '342', '80', '363', '77', '20', '167']
['491', '414', '390', '248', '239', '4', '296', '79', '415', '417']
['148', '357', '488', '480', '206', '438', '475', '497', '440', '483']
['346', '58', '107', '108', '178', '1', '133', '315', '407', '457']
['70', '388', '412', '379', '6', '246', '294', '254', '473', '325']
['205', '314', '268', '203', '227', '338', '233', '204', '321', '459']
['496', '23', '182', '397', '171', '393', '454', '300', '410', '243']
['340', '61', '428', '211', '422', '261', '82', '200', '411', '461']
['12', '372', '120', '400', '125', '161', '29', '115', '360', '34']
['304', '312', '43', '489', '25', '485', '159', '382', '137', '56']
['14', '305', '452', '164', '307', '264', '36', '324', '91', '458']
['228', '416', '394', '318', '272', '265', '290', '57', '353', '320']
['16', '351', '116', '424', '52', '323', '316', '104', '24', '278']
['242', '114', '269', '499', '493', '336', '38', '362', '237', '71']
['33', '68', '232', '230', '87', '109', '134', '350', '123', '244']
['143', '154', '119', '169', '13', '117', '486', '215', '275', '47']
['418', '413', '112', '35', '46', '222', '465', '97', '308', '106']
['21', '195', '63', '436', '341', '403', '303', '494', '361', '42']
['22', '482', '250', '395', '214', '88', '147', '495', '31', '355']
['472', '19', '322', '26', '229', '156', '266', '373', '423', '238']
['490', '74', '124', '419', '9', '140', '466', '463', '129', '262']
['121', '226', '450', '175', '225', '446', '85', '111', '311', '118']
['59', '270', '221', '96', '288', '162', '194', '434', '470', '102']
['365', '186', '127', '487', '84', '453', '327', '17', '387', '439']
['28', '224', '128', '212', '374', '297', '467', '142', '477', '271']
['210', '69', '427', '481', '447', '65', '451', '456', '425', '168']
['255', '173', '48', '180', '163', '277', '442', '380', '273', '478']
['476', '81', '258', '408', '93', '53', '331', '381', '189', '132']
['10', '100', '174', '386', '464', '282', '367', '72', '432', '130']
['181', '83', '259', '274', '18', '101', '279', '383', '384', '207']
['131', '66', '330', '184', '153', '160', '352', '75', '460', '484']
['399', '110', '219', '185', '235', '251', '392', '183', '406', '67']
['444', '281', '78', '375', '236', '371', '310', '213', '141', '378']
['37', '389', '257', '187', '256', '7', '337', '317', '437', '76']
['231', '364', '30', '283', '188', '295', '289', '201', '366', '426']
['39', '430', '370', '421', '144', '433', '404', '138', '479', '335']
['40', '90', '62', '190', '240', '145', '280', '216', '150', '192']
['329', '333', '27', '431', '223', '291', '469', '391', '334', '339']
['286', '92', '492', '326', '86', '60', '50', '328', '11', '468']
['113', '348', '73', '193', '435', '253', '49', '260', '358', '217']
['44', '474', '199', '139', '95', '15', '344', '64', '309', '471']
['45', '293', '41', '179', '177', '89', '343', '402', '149', '287']
['191', '347', '146', '220', '376', '313', '176', '396', '319', '218']
['99', '385', '170', '8', '247', '441', '55', '241', '209', '356']
['332', '98', '443', '198', '136', '368', '462', '208', '196', '498']
['158', '369', '103', '345', '249', '299', '349', '405', '449', '234']
['359', '420', '94', '105', '276', '152', '298', '32', '54', '500']
