['349', '142', '383', '491', '328', '384', '150', '387', '394', '458', '391', '355', '311', '80', '350', '393', '130', '149', '450', '32']
['310', '277', '302', '385', '101', '42', '319', '126', '268', '285', '378', '263', '301', '435', '309', '376', '370', '426', '316', '453']
['0', '40', '4', '498', '102', '11', '152', '177', '375', '7', '252', '487', '97', '256', '379', '244', '402', '254', '255', '248']
['117', '210', '113', '78', '103', '57', '119', '352', '203', '423', '253', '247', '54', '346', '363', '251', '110', '249', '100', '49']
['131', '115', '303', '401', '163', '124', '345', '179', '300', '229', '427', '114', '304', '329', '223', '341', '422', '429', '454', '238']
['398', '30', '56', '492', '48', '324', '337', '216', '470', '230', '25', '333', '388', '330', '189', '403', '335', '430', '461', '465']
['14', '155', '43', '81', '360', '9', '196', '266', '446', '231', '53', '281', '178', '404', '164', '154', '161', '144', '368', '171']
['158', '242', '336', '321', '225', '191', '183', '182', '323', '228', '233', '180', '307', '332', '224', '153', '407', '353', '326', '306']
['314', '313', '418', '116', '108', '148', '496', '485', '325', '227', '211', '414', '308', '413', '123', '1', '408', '91', '22', '455']
['137', '474', '59', '84', '47', '134', '159', '8', '410', '120', '61', '127', '351', '125', '359', '250', '357', '55', '129', '245']
['10', '464', '17', '296', '156', '286', '257', '3', '13', '295', '82', '221', '197', '194', '18', '280', '28', '457', '460', '299']
['99', '382', '475', '86', '390', '136', '442', '186', '448', '188', '317', '204', '38', '128', '451', '386', '139', '133', '483', '135']
['106', '199', '282', '365', '112', '264', '181', '31', '452', '237', '262', '287', '187', '83', '98', '279', '27', '291', '261', '272']
['217', '344', '63', '88', '473', '275', '111', '318', '439', '271', '276', '60', '68', '167', '443', '312', '76', '71', '463', '64']
['358', '484', '482', '89', '241', '212', '235', '208', '214', '239', '141', '240', '362', '339', '364', '218', '417', '213', '200', '340']
['481', '173', '236', '168', '260', '162', '489', '190', '176', '269', '169', '381', '201', '165', '488', '172', '170', '166', '480', '490']
['243', '395', '66', '151', '392', '79', '440', '380', '399', '278', '265', '361', '270', '87', '366', '294', '289', '441', '377', '75']
['157', '198', '348', '92', '185', '23', '96', '192', '288', '85', '193', '292', '143', '354', '367', '412', '283', '290', '147', '246']
['479', '202', '469', '93', '206', '46', '207', '267', '477', '334', '274', '293', '45', '44', '205', '258', '58', '259', '468', '476']
['19', '343', '497', '445', '36', '431', '396', '433', '219', '459', '494', '195', '428', '486', '90', '447', '215', '444', '373', '297']
['65', '331', '70', '95', '234', '226', '499', '493', '220', '62', '69', '72', '320', '222', '232', '338', '305', '94', '374', '495']
['21', '74', '315', '327', '26', '425', '33', '209', '438', '73', '432', '434', '437', '104', '436', '140', '421', '5', '420', '121']
['107', '109', '145', '20', '122', '467', '466', '449', '462', '415', '138', '400', '322', '347', '146', '16', '284', '416', '472', '409']
['411', '105', '6', '456', '372', '371', '118', '2', '342', '160', '273', '298', '369', '67', '397', '175', '424', '356', '12', '77']
['24', '478', '52', '389', '29', '50', '184', '37', '405', '406', '419', '174', '39', '15', '35', '471', '41', '51', '34', '132']
