['371', '175', '28', '409', '26', '153', '472', '306', '160', '489', '251', '220', '102', '232', '12', '399', '247', '197', '360', '148', '127', '223', '441', '189', '94']
['1', '176', '245', '308', '255', '101', '121', '246', '177', '214', '173', '329', '455', '85', '169', '389', '460', '202', '434', '381', '57', '421', '375', '461', '481']
['359', '40', '166', '178', '265', '476', '307', '201', '206', '93', '341', '222', '242', '250', '137', '302', '283', '438', '450', '71', '402', '495', '278', '339', '233']
['3', '81', '425', '63', '83', '279', '61', '143', '163', '27', '203', '234', '477', '0', '13', '303', '257', '442', '363', '310', '111', '228', '443', '116', '392']
['406', '369', '100', '347', '10', '42', '264', '204', '51', '66', '267', '118', '49', '21', '411', '252', '499', '184', '277', '447', '487', '424', '5', '464', '281']
['334', '25', '230', '293', '342', '356', '428', '144', '299', '185', '9', '225', '180', '8', '124', '449', '325', '311', '119', '385', '498', '105', '445', '465', '312']
['365', '80', '328', '161', '318', '106', '17', '146', '22', '186', '280', '226', '141', '266', '413', '209', '367', '70', '221', '343', '103', '172', '327', '466', '486']
['59', '420', '45', '67', '326', '268', '338', '275', '147', '187', '207', '227', '439', '82', '287', '134', '344', '168', '380', '354', '480', '316', '379', '237', '473']
['145', '113', '48', '470', '72', '108', '349', '313', '496', '331', '208', '484', '417', '200', '469', '123', '192', '142', '364', '388', '483', '212', '457', '391', '488']
['416', '199', '2', '20', '452', '109', '182', '408', '35', '243', '129', '23', '258', '75', '289', '431', '60', '128', '24', '423', '162', '320', '368', '377', '190']
['340', '37', '50', '30', '39', '429', '130', '383', '170', '231', '107', '244', '386', '154', '290', '463', '297', '350', '370', '390', '410', '430', '261', '34', '490']
['394', '31', '164', '485', '19', '403', '99', '53', '112', '191', '211', '405', '288', '135', '304', '493', '440', '351', '263', '468', '284', '215', '273', '321', '491']
['132', '174', '157', '88', '87', '453', '271', '16', '426', '296', '210', '415', '64', '110', '292', '69', '475', '68', '372', '404', '412', '36', '125', '43', '396']
['158', '33', '151', '73', '446', '295', '44', '6', '120', '98', '165', '497', '181', '270', '249', '401', '333', '353', '373', '393', '467', '433', '171', '298', '62']
['14', '332', '58', '400', '156', '114', '282', '345', '32', '300', '253', '382', '254', '432', '294', '451', '398', '387', '374', '362', '414', '361', '47', '474', '494']
['150', '256', '188', '352', '95', '155', '419', '448', '224', '195', '309', '492', '213', '167', '324', '315', '269', '15', '46', '395', '104', '435', '149', '240', '196']
['55', '378', '56', '76', '96', '248', '314', '126', '38', '422', '18', '236', '90', '384', '418', '427', '336', '229', '376', '29', '136', '454', '456', '301', '291']
['276', '355', '205', '77', '78', '117', '115', '262', '272', '152', '241', '286', '323', '179', '140', '317', '337', '407', '183', '74', '471', '86', '436', '89', '482']
['4', '348', '54', '335', '478', '122', '285', '462', '198', '346', '218', '238', '305', '7', '216', '217', '274', '358', '235', '397', '52', '159', '458', '437', '138']
['91', '11', '444', '79', '366', '319', '139', '330', '65', '193', '219', '239', '259', '260', '322', '194', '92', '131', '357', '97', '41', '84', '459', '479', '133']
