['80', '40', '45', '43', '150', '2', '240', '82', '64', '318']
['384', '41', '286', '209', '399', '201', '392', '281', '287', '348']
['249', '147', '374', '378', '247', '104', '242', '198', '216', '324']
['3', '357', '308', '123', '20', '359', '315', '204', '273', '161']
['323', '44', '292', '186', '164', '55', '365', '46', '25', '364']
['302', '88', '303', '85', '195', '267', '81', '117', '301', '114']
['6', '89', '86', '328', '179', '206', '246', '245', '326', '93']
['7', '47', '26', '327', '184', '325', '385', '321', '200', '367']
['95', '48', '282', '59', '244', '353', '305', '288', '337', '99']
['363', '49', '284', '129', '160', '166', '155', '169', '361', '369']
['243', '50', '90', '295', '162', '253', '250', '375', '120', '251']
['210', '387', '91', '218', '214', '211', '28', '340', '217', '163']
['306', '139', '92', '132', '258', '212', '252', '84', '388', '372']
['13', '289', '330', '133', '0', '181', '285', '316', '177', '373']
['137', '339', '358', '346', '83', '344', '143', '332', '334', '87']
['15', '336', '11', '205', '175', '215', '255', '97', '335', '338']
['105', '320', '96', '136', '23', '322', '159', '135', '266', '329']
['17', '276', '345', '389', '194', '341', '257', '382', '196', '377']
['131', '76', '30', '138', '33', '18', '103', '298', '290', '37']
['227', '225', '67', '176', '371', '370', '62', '299', '296', '379']
['304', '297', '100', '171', '188', '183', '260', '19', '291', '270']
['112', '231', '101', '233', '232', '236', '261', '234', '331', '381']
['146', '259', '102', '142', '106', '52', '42', '5', '241', '265']
['60', '63', '229', '254', '220', '223', '263', '68', '224', '256']
['24', '366', '66', '134', '167', '380', '221', '165', '21', '1']
['34', '65', '22', '145', '35', '69', '140', '248', '168', '149']
['264', '222', '73', '16', '124', '226', '283', '12', '121', '386']
['27', '349', '107', '262', '113', '342', '208', '307', '347', '343']
['398', '141', '144', '148', '395', '77', '268', '174', '79', '170']
['108', '127', '173', '294', '333', '172', '269', '309', '109', '293']
['354', '70', '4', '53', '31', '230', '350', '310', '56', '187']
['190', '72', '78', '191', '98', '75', '119', '116', '192', '94']
['32', '355', '383', '152', '351', '29', '219', '36', '352', '199']
['14', '182', '154', '153', '193', '125', '311', '185', '151', '178']
['122', '128', '130', '390', '189', '207', '356', '396', '391', '394']
['126', '61', '115', '213', '71', '235', '275', '10', '74', '180']
['312', '58', '54', '156', '313', '280', '317', '300', '274', '314']
['272', '228', '239', '157', '57', '237', '277', '197', '51', '397']
['38', '111', '118', '158', '393', '238', '368', '360', '376', '110']
['39', '8', '271', '202', '278', '362', '279', '319', '203', '9']
