['448', '70', '140', '220', '424', '381', '50']
['156', '373', '386', '473', '34', '351', '421']
['384', '72', '77', '212', '164', '352', '273']
['3', '272', '143', '213', '283', '89', '37']
['4', '186', '233', '234', '284', '98', '141']
['5', '200', '246', '174', '91', '487', '425']
['6', '302', '19', '216', '51', '356', '146']
['439', '142', '403', '422', '287', '278', '427']
['180', '78', '110', '218', '101', '358', '96']
['9', '79', '130', '121', '268', '359', '429']
['111', '151', '444', '210', '290', '485', '430']
['251', '353', '219', '221', '74', '306', '431']
['12', '482', '398', '113', '292', '204', '385']
['407', '38', '468', '438', '293', '423', '310']
['14', '84', '413', '462', '153', '364', '447']
['15', '243', '155', '469', '342', '371', '57']
['410', '263', '269', '226', '296', '366', '209']
['17', '192', '433', '324', '68', '367', '437']
['450', '88', '86', '396', '206', '368', '201']
['124', '214', '377', '80', '299', '369', '241']
['279', '90', '160', '24', '300', '331', '440']
['207', '370', '223', '231', '301', '173', '333']
['22', '92', '457', '135', '76', '326', '49']
['23', '93', '163', '144', '303', '329', '443']
['288', '453', '298', '215', '451', '374', '434']
['25', '294', '165', '235', '29', '404', '35']
['470', '428', '166', '43', '361', '376', '47']
['154', '27', '167', '44', '222', '159', '378']
['247', '148', '149', '16', '308', '150', '0']
['168', '99', '390', '405', '286', '379', '94']
['30', '100', '170', '240', '81', '309', '18']
['31', '318', '171', '7', '311', '187', '2']
['32', '360', '172', '59', '115', '196', '452']
['127', '103', '449', '194', '362', '71', '365']
['280', '104', '460', '244', '238', '66', '198']
['270', '105', '224', '464', '315', '313', '455']
['177', '106', '319', '346', '316', '184', '456']
['363', '107', '20', '28', '317', '387', '162']
['83', '108', '178', '402', '205', '255', '458']
['39', '109', '340', '275', '176', '389', '21']
['40', '354', '341', '183', '1', '169', '185']
['41', '10', '181', '258', '125', '307', '461']
['42', '102', '60', '26', '322', '259', '175']
['400', '391', '382', '253', '323', '208', '463']
['211', '114', '262', '245', '227', '411', '254']
['45', '276', '445', '432', '483', '395', '236']
['46', '116', '417', '256', '372', '446', '466']
['48', '117', '82', '257', '344', '330', '467']
['55', '118', '188', '97', '139', '152', '13']
['304', '119', '189', '392', '383', '399', '250']
['266', '375', '190', '260', '397', '53', '416']
['380', '229', '191', '261', '285', '401', '471']
['52', '122', '277', '281', '332', '248', '472']
['112', '123', '406', '158', '441', '465', '264']
['54', '426', '85', '62', '334', '320', '474']
['228', '321', '337', '265', '335', '239', '475']
['56', '126', '225', '420', '357', '75', '138']
['435', '33', '197', '267', '195', '408', '477']
['58', '128', '305', '161', '338', '95', '282']
['242', '129', '199', '350', '339', '409', '314']
['349', '454', '193', '157', '480', '479', '179']
['61', '131', '289', '271', '8', '394', '481']
['237', '132', '202', '73', '295', '412', '120']
['11', '133', '203', '217', '343', '63', '325']
['476', '134', '388', '274', '327', '414', '484']
['65', '232', '230', '249', '345', '415', '147']
['87', '136', '478', '312', '145', '252', '486']
['67', '137', '459', '442', '347', '291', '355']
['297', '64', '393', '336', '348', '418', '488']
['69', '328', '436', '36', '182', '419']
