['a224', 'a33', 'a37', 'a226', 'a35', 'a39', 'a228', 'a221', 'a34', 'a195']
['a24', 'a28', 'a58', 'a190', 'a88', 'a193', 'a196', 'a20', 'a8', 'a57']
['a220', 'a69', 'a13', 'a217', 'a10', 'a123', 'a151', 'a238', 'a222', 'a3']
['a239', 'a68', 'a79', 'a61', 'a96', 'a95', 'a170', 'a99', 'a176', 'a175']
['a107', 'a77', 'a100', 'a106', 'a181', 'a245', 'a183', 'a189', 'a164', 'a160']
['a4', 'a70', 'a76', 'a2', 'a1', 'a7', 'a156', 'a54', 'a21', 'a154']
['a56', 'a83', 'a42', 'a85', 'a50', 'a41', 'a55', 'a163', 'a86', 'a134']
['a227', 'a60', 'a204', 'a67', 'a16', 'a197', 'a191', 'a92', 'a62', 'a90']
['a27', 'a138', 'a82', 'a145', 'a135', 'a22', 'a130', 'a118', 'a89', 'a43']
['a48', 'a109', 'a105', 'a97', 'a49', 'a200', 'a209', 'a203', 'a40', 'a101']
['a93', 'a207', 'a66', 'a94', 'a91', 'a206', 'a179', 'a31', 'a98', 'a102']
['a14', 'a52', 'a178', 'a139', 'a133', 'a132', 'a18', 'a17', 'a51', 'a131']
['a167', 'a6', 'a162', 'a9', 'a5', 'a129', 'a128', 'a125', 'a0', 'a121']
['a201', 'a114', 'a119', 'a120', 'a124', 'a113', 'a127', 'a126', 'a122', 'a136']
['a208', 'a234', 'a173', 'a202', 'a233', 'a232', 'a235', 'a230', 'a231', 'a171']
['a36', 'a29', 'a182', 'a32', 'a26', 'a180', 'a188', 'a166', 'a185', 'a187']
['a110', 'a103', 'a117', 'a111', 'a115', 'a104', 'a65', 'a112', 'a116', 'a64']
['a240', 'a194', 'a53', 'a242', 'a249', 'a63', 'a248', 'a108', 'a241', 'a192']
['a59', 'a212', 'a72', 'a71', 'a237', 'a244', 'a78', 'a211', 'a236', 'a142']
['a165', 'a23', 'a168', 'a161', 'a148', 'a169', 'a153', 'a149', 'a140', 'a143']
['a44', 'a38', 'a47', 'a74', 'a75', 'a184', 'a158', 'a30', 'a186', 'a73']
['a81', 'a229', 'a19', 'a219', 'a218', 'a215', 'a216', 'a214', 'a210', 'a223']
['a12', 'a198', 'a225', 'a243', 'a84', 'a199', 'a80', 'a46', 'a247', 'a205']
['a159', 'a11', 'a172', 'a144', 'a45', 'a177', 'a174', 'a147', 'a137', 'a15']
['a150', 'a141', 'a152', 'a87', 'a146', 'a155', 'a157', 'a213', 'a25', 'a246']
