['216', '204', '288', '90', '141', '77', '8', '186', '105', '62', '101', '125', '5', '153', '311', '68']
['142', '63', '262', '340', '148', '117', '168', '255', '343', '354', '39', '251', '128', '164', '266', '182']
['264', '191', '287', '149', '137', '76', '43', '184', '26', '231', '181', '202', '59', '267', '325', '174']
['248', '49', '295', '65', '93', '300', '247', '305', '297', '151', '147', '347', '239', '176', '357', '322']
['389', '217', '67', '94', '91', '84', '246', '160', '200', '162', '140', '208', '214', '95', '116', '163']
['319', '37', '139', '50', '317', '384', '74', '138', '17', '237', '99', '318', '211', '243', '261', '253']
['398', '159', '292', '281', '72', '85', '86', '11', '12', '386', '127', '329', '385', '363', '277', '51']
['353', '273', '112', '371', '104', '7', '23', '226', '171', '302', '107', '233', '75', '370', '209', '189']
['396', '272', '364', '1', '19', '154', '395', '73', '367', '349', '123', '221', '256', '220', '80', '113']
['29', '193', '55', '348', '52', '54', '234', '228', '145', '315', '150', '165', '81', '365', '213', '106']
['274', '381', '201', '235', '361', '33', '219', '337', '158', '308', '345', '284', '60', '46', '210', '97']
['146', '56', '307', '236', '115', '88', '157', '14', '351', '350', '161', '360', '355', '242', '290', '313']
['215', '294', '377', '185', '121', '390', '178', '100', '21', '327', '190', '323', '205', '373', '282', '378']
['374', '36', '324', '53', '206', '260', '286', '130', '257', '132', '240', '92', '203', '167', '276', '296']
['283', '31', '114', '87', '110', '383', '212', '155', '293', '169', '268', '344', '4', '312', '229', '358']
['48', '27', '195', '133', '375', '369', '175', '18', '198', '332', '258', '394', '244', '218', '57', '30']
['387', '69', '279', '339', '314', '335', '356', '331', '382', '40', '61', '9', '96', '328', '238', '207']
['320', '109', '199', '170', '15', '393', '173', '309', '392', '289', '306', '118', '35', '299', '303', '285']
['271', '102', '330', '270', '245', '126', '397', '196', '70', '135', '259', '280', '172', '108', '225', '44']
['275', '223', '269', '10', '156', '399', '227', '362', '71', '376', '179', '230', '334', '24', '192', '45']
['152', '41', '16', '144', '197', '134', '232', '321', '79', '368', '400', '82', '129', '122', '366', '64']
['103', '304', '249', '22', '28', '241', '34', '98', '78', '333', '66', '3', '391', '13', '222', '341']
['250', '346', '131', '20', '252', '58', '183', '188', '6', '254', '326', '124', '263', '187', '42', '278']
['47', '316', '379', '143', '32', '372', '180', '338', '89', '119', '2', '388', '25', '111', '310', '301']
['194', '380', '336', '352', '224', '298', '291', '265', '120', '177', '38', '342', '359', '136', '166', '83']
