['283', '479', '319', '487', '62']
['375', '400', '0', '227', '186']
['356', '228', '138', '51', '112']
['229', '40', '305', '443', '433']
['424', '53', '464', '380', '427']
['491', '249', '48', '268', '282']
['89', '66', '287', '131', '94']
['184', '378', '37', '97', '124']
['65', '218', '315', '68', '316']
['36', '132', '177', '113', '17']
['317', '125', '251', '50', '486']
['411', '415', '396', '120', '498']
['331', '196', '437', '204', '61']
['39', '359', '436', '240', '33']
['297', '472', '322', '2', '321']
['23', '412', '92', '263', '100']
['153', '190', '473', '425', '29']
['123', '170', '28', '428', '465']
['63', '109', '403', '371', '245']
['106', '258', '414', '85', '444']
['279', '73', '357', '449', '304']
['5', '88', '188', '350', '84']
['187', '314', '353', '200', '496']
['365', '335', '95', '11', '295']
['108', '284', '277', '307', '397']
['383', '220', '355', '81', '290']
['358', '185', '413', '485', '293']
['318', '416', '492', '292', '260']
['333', '250', '435', '9', '471']
['309', '104', '244', '377', '147']
['173', '402', '87', '157', '454']
['148', '12', '438', '198', '332']
['323', '406', '213', '8', '86']
['223', '32', '313', '302', '389']
['463', '107', '475', '35', '270']
['71', '483', '480', '111', '342']
['119', '21', '388', '337', '199']
['420', '7', '361', '326', '373']
['174', '405', '226', '178', '301']
['209', '286', '325', '348', '247']
['6', '56', '299', '38', '25']
['20', '235', '324', '264', '320']
['257', '80', '234', '248', '69']
['165', '452', '366', '439', '289']
['255', '345', '103', '57', '285']
['222', '281', '478', '300', '22']
['453', '296', '291', '98', '409']
['460', '467', '41', '137', '352']
['404', '246', '55', '168', '466']
['54', '201', '450', '422', '72']
['122', '96', '441', '484', '369']
['334', '346', '102', '202', '127']
['45', '47', '225', '364', '407']
['83', '59', '482', '15', '207']
['303', '385', '488', '118', '280']
['354', '79', '386', '140', '429']
['19', '360', '259', '49', '191']
['363', '474', '141', '262', '128']
['497', '395', '343', '308', '310']
['156', '445', '158', '110', '274']
['93', '3', '271', '398', '171']
['493', '154', '176', '489', '494']
['189', '99', '330', '455', '136']
['211', '152', '327', '155', '130']
['261', '67', '126', '329', '145']
['272', '13', '458', '468', '253']
['116', '114', '164', '205', '144']
['367', '477', '266', '432', '273']
['216', '298', '212', '77', '162']
['410', '179', '151', '142', '328']
['60', '390', '159', '117', '233']
['267', '461', '16', '90', '469']
['392', '4', '163', '224', '384']
['306', '74', '180', '42', '419']
['372', '374', '161', '344', '105']
['462', '408', '451', '423', '456']
['195', '370', '76', '341', '143']
['31', '24', '146', '215', '336']
['30', '206', '26', '194', '1']
['238', '434', '447', '46', '368']
['339', '214', '34', '75', '275']
['351', '481', '394', '340', '362']
['221', '230', '254', '256', '495']
['219', '172', '457', '167', '101']
['265', '379', '431', '10', '499']
['387', '78', '382', '393', '294']
['242', '237', '197', '27', '269']
['459', '64', '181', '391', '210']
['426', '70', '276', '52', '401']
['192', '133', '231', '243', '115']
['440', '241', '203', '58', '149']
['175', '18', '311', '399', '252']
['82', '139', '44', '418', '169']
['217', '135', '193', '442', '43']
['376', '14', '490', '430', '91']
['166', '150', '476', '446', '312']
['232', '183', '182', '121', '349']
['239', '381', '160', '278', '236']
['417', '347', '448', '338', '208']
['470', '129', '134', '421', '288']
