['291', '329', '90', '266', '410', '53', '140', '78', '196', '56']
['103', '141', '260', '351', '460', '484', '469', '153', '244', '60']
['44', '39', '178', '428', '432', '297', '8', '303', '29', '330']
['207', '159', '343', '307', '83', '302', '258', '194', '379', '373']
['309', '345', '31', '395', '87', '26', '407', '175', '433', '470']
['251', '402', '497', '51', '118', '372', '468', '496', '35', '446']
['368', '417', '270', '436', '319', '36', '142', '281', '489', '91']
['13', '33', '105', '487', '371', '301', '444', '293', '28', '192']
['218', '422', '261', '268', '104', '442', '414', '209', '236', '24']
['276', '184', '213', '201', '20', '254', '392', '481', '238', '431']
['401', '292', '355', '205', '383', '352', '146', '426', '240', '450']
['181', '322', '310', '300', '27', '109', '9', '97', '396', '161']
['415', '134', '399', '423', '93', '341', '166', '316', '79', '280']
['411', '11', '389', '495', '463', '108', '2', '381', '279', '262']
['160', '259', '229', '4', '283', '111', '438', '443', '418', '313']
['189', '334', '155', '121', '154', '225', '317', '76', '347', '459']
['185', '150', '43', '289', '425', '472', '147', '64', '15', '0']
['246', '374', '128', '488', '68', '119', '290', '106', '479', '453']
['171', '311', '421', '5', '133', '179', '191', '19', '480', '386']
['482', '107', '416', '164', '295', '485', '211', '486', '75', '287']
['336', '256', '288', '110', '157', '69', '120', '499', '41', '353']
['233', '243', '99', '239', '247', '318', '346', '358', '491', '403']
['273', '387', '228', '315', '248', '195', '475', '282', '217', '177']
['84', '73', '419', '455', '449', '269', '7', '126', '377', '427']
['306', '23', '102', '255', '203', '200', '323', '274', '113', '202']
['476', '350', '385', '224', '37', '149', '52', '227', '101', '285']
['125', '308', '234', '112', '394', '70', '162', '447', '376', '408']
['47', '188', '198', '182', '210', '366', '38', '55', '413', '326']
['226', '321', '34', '50', '6', '220', '429', '25', '156', '437']
['132', '406', '186', '139', '384', '375', '18', '21', '135', '152']
['412', '32', '136', '30', '320', '382', '327', '458', '340', '66']
['143', '1', '54', '116', '81', '222', '232', '94', '82', '404']
['378', '265', '163', '86', '435', '448', '193', '357', '17', '339']
['294', '424', '267', '452', '231', '114', '370', '252', '304', '88']
['71', '59', '249', '61', '440', '65', '299', '89', '221', '364']
['62', '48', '245', '212', '325', '173', '85', '216', '46', '393']
['275', '145', '494', '369', '360', '284', '277', '264', '477', '96']
['391', '124', '367', '3', '478', '439', '454', '180', '214', '400']
['241', '473', '219', '337', '98', '167', '420', '237', '314', '333']
['197', '74', '72', '95', '409', '388', '165', '242', '363', '471']
['457', '92', '10', '57', '131', '67', '332', '344', '235', '356']
['187', '298', '170', '45', '342', '215', '148', '398', '100', '349']
['42', '465', '172', '324', '190', '445', '338', '129', '122', '278']
['361', '492', '115', '63', '483', '498', '441', '151', '296', '305']
['257', '467', '493', '286', '158', '466', '117', '58', '362', '354']
['223', '348', '312', '250', '130', '208', '168', '359', '490', '206']
['335', '16', '183', '430', '144', '331', '272', '397', '22', '365']
['49', '77', '456', '80', '390', '253', '380', '176', '138', '174']
['169', '405', '14', '451', '199', '434', '328', '204', '12', '230']
['127', '123', '474', '464', '271', '461', '137', '462', '40', '263']
