['219', '135', '126', '227']
['102', '95', '68', '190']
['160', '15', '72', '191']
['87', '47', '188', '236']
['239', '130', '58', '167']
['51', '178', '194', '200']
['41', '1', '60', '187']
['24', '70', '117', '105']
['50', '208', '235', '35']
['140', '17', '101', '175']
['116', '217', '199', '153']
['74', '137', '218', '224']
['12', '159', '201', '114']
['77', '223', '131', '202']
['14', '13', '245', '96']
['30', '240', '38', '127']
['27', '79', '144', '192']
['110', '109', '26', '206']
['230', '152', '142', '185']
['92', '145', '80', '94']
['57', '213']
['84', '71', '65', '75']
['6', '85', '32', '93']
['168', '97', '10', '34']
['197', '216', '150', '120']
['25', '90', '146', '118']
['186', '89', '181', '73']
['215', '214', '141', '100']
['28', '33', '36', '162']
['210', '40', '222', '238']
['62', '23', '44', '43']
['0', '149', '49', '19']
['163', '220', '132', '45']
['91', '143', '81', '53']
['2', '83', '9', '156']
['221', '18', '226', '249']
['179', '63', '86', '234']
['241', '3', '31', '231']
['11', '229', '88', '170']
['39', '69', '129', '189']
['61', '66', '182', '20']
['209', '154', '136', '133']
['138', '22', '151', '172']
['123', '169', '232', '195']
['225', '107', '121', '205']
['193', '108', '171', '103']
['122', '52', '155', '242']
['228', '54', '173', '29']
['48', '111', '176', '212']
['16', '112', '128', '56']
['82', '211', '157', '59']
['99', '177', '148', '21']
['248', '119', '37', '113']
['98', '78', '196', '106']
['237', '198', '180', '64']
['55', '124', '5', '4']
['42', '139', '166', '203']
['147', '164', '76', '246']
['7', '115', '184', '247']
['67', '158', '207', '204']
['183', '161', '46', '233']
['134', '125', '174', '244']
['8', '243', '104', '165']
